stimulus_type,relevance_type,duration,times,Category_Selective,IPS,Prefrontal_Cortex,V1_V2
False,Irrelevant,1000ms,-0.5,-0.03194187715531154,-0.05729987742520987,0.0009738961002661276,0.0007482219454934418
False,Irrelevant,1000ms,-0.499,-0.01613339842923809,-0.051293881487157314,-0.003917348530928418,0.005399026767233748
False,Irrelevant,1000ms,-0.498,-0.025050790656939586,-0.044948094400029434,-0.007907924214501568,0.009373368108278329
False,Irrelevant,1000ms,-0.497,-0.03578630211542,-0.05876142865541631,-0.0007782402411586391,0.009341693184976508
False,Irrelevant,1000ms,-0.496,-0.02848467953064945,-0.06436961792011349,-0.011887902689696384,0.0027694639709887085
False,Irrelevant,1000ms,-0.495,0.0011601666321426984,-0.036449139260837524,-0.014057932214441106,-0.0013720567440115346
False,Irrelevant,1000ms,-0.494,0.016230393477912216,-0.035215642357629404,-0.0031636794615698136,-0.01223452708910335
False,Irrelevant,1000ms,-0.493,0.0058435630565097495,-0.045902810029915996,0.002759524470079551,-0.013630989836295427
False,Irrelevant,1000ms,-0.492,0.004207575475000851,-0.025992782638651544,0.00893408220533507,-0.01026359021284515
False,Irrelevant,1000ms,-0.491,0.03498451723260504,-0.012525892166956092,-0.0009162170720436735,-0.022987831348462245
False,Irrelevant,1000ms,-0.49,0.042080823295979966,-0.023407245860194915,-0.01235684142158308,-0.03125309578914305
False,Irrelevant,1000ms,-0.489,0.026026497968071702,-0.0412457443307121,-0.009702815033208034,-0.020474592896596665
False,Irrelevant,1000ms,-0.488,0.010587646278185495,-0.02087041258194031,-0.007437798740275607,-0.015565528804460157
False,Irrelevant,1000ms,-0.487,0.010381105419988152,-0.013425103566403015,-0.006005919527879441,-0.006449374534985006
False,Irrelevant,1000ms,-0.486,0.021459816765320577,-0.019531905131940756,0.008882279435138904,0.007397041006443106
False,Irrelevant,1000ms,-0.485,0.026901044942936346,0.0001574789644514061,-0.0007081629272336525,0.007950564841024044
False,Irrelevant,1000ms,-0.484,0.023341291484665155,-0.009033989942021361,-0.01274081000680798,-0.005854743192366603
False,Irrelevant,1000ms,-0.483,0.010351469401951897,-0.005270659842638451,-0.005291721331369341,-0.004925638255842566
False,Irrelevant,1000ms,-0.482,0.012481969931728717,0.0210190882855345,-0.010106815974854726,-0.005119145641942664
False,Irrelevant,1000ms,-0.481,0.029096377506760834,0.010364791502491847,-0.011653609108983592,-0.02064739297354979
False,Irrelevant,1000ms,-0.48,0.01381912293607895,-0.008752146324971418,-0.004797061847479391,-0.013598977898355444
False,Irrelevant,1000ms,-0.479,-0.023345876008849256,-0.013015717462633246,0.000495556632661591,0.002450169330628002
False,Irrelevant,1000ms,-0.478,-0.010332327388229434,0.004659239794935141,0.005668935320985352,0.004694902263700984
False,Irrelevant,1000ms,-0.477,-0.005731676680009055,0.018891270878084763,0.002737200159609203,0.0012548184998905495
False,Irrelevant,1000ms,-0.476,0.01199237844216849,0.020288370379336524,-0.0013582227031844081,-0.0012042926411072554
False,Irrelevant,1000ms,-0.475,0.0255009672829288,0.01973693056189468,-0.0045101733800881946,0.006410647439451448
False,Irrelevant,1000ms,-0.474,-0.0096705516002643,0.02833199487825577,0.004170058323985207,0.01157838154744064
