index,SPI,meta_ROI_from,meta_ROI_to,value,stimulus_type,relevance_type,duration,stimulus_presentation,Data_Type,subject_ID
1,bary-sq_euclidean_mean,IPS,Category_Selective,0.5026776327602476,False,Irrelevant,1000,on,Raw,CA106
2,bary-sq_euclidean_mean,Prefrontal_Cortex,Category_Selective,0.34789824019084997,False,Irrelevant,1000,on,Raw,CA106
3,bary-sq_euclidean_mean,V1_V2,Category_Selective,0.18597552247228002,False,Irrelevant,1000,on,Raw,CA106
4,bary-sq_euclidean_mean,Category_Selective,IPS,0.5026776327602476,False,Irrelevant,1000,on,Raw,CA106
6,bary-sq_euclidean_mean,Prefrontal_Cortex,IPS,0.46914108530959253,False,Irrelevant,1000,on,Raw,CA106
7,bary-sq_euclidean_mean,V1_V2,IPS,0.363027189255145,False,Irrelevant,1000,on,Raw,CA106
8,bary-sq_euclidean_mean,Category_Selective,Prefrontal_Cortex,0.34789824019084997,False,Irrelevant,1000,on,Raw,CA106
9,bary-sq_euclidean_mean,IPS,Prefrontal_Cortex,0.46914108530959253,False,Irrelevant,1000,on,Raw,CA106
11,bary-sq_euclidean_mean,V1_V2,Prefrontal_Cortex,0.5657346850494741,False,Irrelevant,1000,on,Raw,CA106
12,bary-sq_euclidean_mean,Category_Selective,V1_V2,0.18597552247228002,False,Irrelevant,1000,on,Raw,CA106
13,bary-sq_euclidean_mean,IPS,V1_V2,0.363027189255145,False,Irrelevant,1000,on,Raw,CA106
14,bary-sq_euclidean_mean,Prefrontal_Cortex,V1_V2,0.5657346850494741,False,Irrelevant,1000,on,Raw,CA106
17,bary-sq_euclidean_max,IPS,Category_Selective,6.189590145113292,False,Irrelevant,1000,on,Raw,CA106
18,bary-sq_euclidean_max,Prefrontal_Cortex,Category_Selective,5.081076517620544,False,Irrelevant,1000,on,Raw,CA106
19,bary-sq_euclidean_max,V1_V2,Category_Selective,2.0154343013621308,False,Irrelevant,1000,on,Raw,CA106
20,bary-sq_euclidean_max,Category_Selective,IPS,6.189590145113292,False,Irrelevant,1000,on,Raw,CA106
22,bary-sq_euclidean_max,Prefrontal_Cortex,IPS,4.601328474802837,False,Irrelevant,1000,on,Raw,CA106
23,bary-sq_euclidean_max,V1_V2,IPS,4.147676260791526,False,Irrelevant,1000,on,Raw,CA106
24,bary-sq_euclidean_max,Category_Selective,Prefrontal_Cortex,5.081076517620544,False,Irrelevant,1000,on,Raw,CA106
25,bary-sq_euclidean_max,IPS,Prefrontal_Cortex,4.601328474802837,False,Irrelevant,1000,on,Raw,CA106
27,bary-sq_euclidean_max,V1_V2,Prefrontal_Cortex,6.655762363051709,False,Irrelevant,1000,on,Raw,CA106
28,bary-sq_euclidean_max,Category_Selective,V1_V2,2.0154343013621308,False,Irrelevant,1000,on,Raw,CA106
29,bary-sq_euclidean_max,IPS,V1_V2,4.147676260791526,False,Irrelevant,1000,on,Raw,CA106
30,bary-sq_euclidean_max,Prefrontal_Cortex,V1_V2,6.655762363051709,False,Irrelevant,1000,on,Raw,CA106
33,bary-sq_euclidean_max_time,IPS,Category_Selective,682.0,False,Irrelevant,1000,on,Raw,CA106
34,bary-sq_euclidean_max_time,Prefrontal_Cortex,Category_Selective,56.0,False,Irrelevant,1000,on,Raw,CA106
35,bary-sq_euclidean_max_time,V1_V2,Category_Selective,527.0,False,Irrelevant,1000,on,Raw,CA106
36,bary-sq_euclidean_max_time,Category_Selective,IPS,682.0,False,Irrelevant,1000,on,Raw,CA106
38,bary-sq_euclidean_max_time,Prefrontal_Cortex,IPS,688.0,False,Irrelevant,1000,on,Raw,CA106
39,bary-sq_euclidean_max_time,V1_V2,IPS,95.0,False,Irrelevant,1000,on,Raw,CA106
40,bary-sq_euclidean_max_time,Category_Selective,Prefrontal_Cortex,56.0,False,Irrelevant,1000,on,Raw,CA106
41,bary-sq_euclidean_max_time,IPS,Prefrontal_Cortex,688.0,False,Irrelevant,1000,on,Raw,CA106
43,bary-sq_euclidean_max_time,V1_V2,Prefrontal_Cortex,99.0,False,Irrelevant,1000,on,Raw,CA106
44,bary-sq_euclidean_max_time,Category_Selective,V1_V2,527.0,False,Irrelevant,1000,on,Raw,CA106
45,bary-sq_euclidean_max_time,IPS,V1_V2,95.0,False,Irrelevant,1000,on,Raw,CA106
46,bary-sq_euclidean_max_time,Prefrontal_Cortex,V1_V2,99.0,False,Irrelevant,1000,on,Raw,CA106
49,bary-sq_dtw_mean,IPS,Category_Selective,0.601371634498319,False,Irrelevant,1000,on,Raw,CA106
50,bary-sq_dtw_mean,Prefrontal_Cortex,Category_Selective,0.42390526984279403,False,Irrelevant,1000,on,Raw,CA106
51,bary-sq_dtw_mean,V1_V2,Category_Selective,0.2837067094353343,False,Irrelevant,1000,on,Raw,CA106
52,bary-sq_dtw_mean,Category_Selective,IPS,0.601371634498319,False,Irrelevant,1000,on,Raw,CA106
54,bary-sq_dtw_mean,Prefrontal_Cortex,IPS,0.557627638412587,False,Irrelevant,1000,on,Raw,CA106
55,bary-sq_dtw_mean,V1_V2,IPS,0.4344880146866017,False,Irrelevant,1000,on,Raw,CA106
56,bary-sq_dtw_mean,Category_Selective,Prefrontal_Cortex,0.42390526984279403,False,Irrelevant,1000,on,Raw,CA106
57,bary-sq_dtw_mean,IPS,Prefrontal_Cortex,0.557627638412587,False,Irrelevant,1000,on,Raw,CA106
59,bary-sq_dtw_mean,V1_V2,Prefrontal_Cortex,0.6535373919808357,False,Irrelevant,1000,on,Raw,CA106
60,bary-sq_dtw_mean,Category_Selective,V1_V2,0.2837067094353343,False,Irrelevant,1000,on,Raw,CA106
61,bary-sq_dtw_mean,IPS,V1_V2,0.4344880146866017,False,Irrelevant,1000,on,Raw,CA106
62,bary-sq_dtw_mean,Prefrontal_Cortex,V1_V2,0.6535373919808357,False,Irrelevant,1000,on,Raw,CA106
65,bary-sq_dtw_max,IPS,Category_Selective,7.846190057731138,False,Irrelevant,1000,on,Raw,CA106
66,bary-sq_dtw_max,Prefrontal_Cortex,Category_Selective,5.6338036881037725,False,Irrelevant,1000,on,Raw,CA106
67,bary-sq_dtw_max,V1_V2,Category_Selective,10.762573469501145,False,Irrelevant,1000,on,Raw,CA106
68,bary-sq_dtw_max,Category_Selective,IPS,7.846190057731138,False,Irrelevant,1000,on,Raw,CA106
70,bary-sq_dtw_max,Prefrontal_Cortex,IPS,6.1769161714468925,False,Irrelevant,1000,on,Raw,CA106
71,bary-sq_dtw_max,V1_V2,IPS,10.84854665152159,False,Irrelevant,1000,on,Raw,CA106
72,bary-sq_dtw_max,Category_Selective,Prefrontal_Cortex,5.6338036881037725,False,Irrelevant,1000,on,Raw,CA106
73,bary-sq_dtw_max,IPS,Prefrontal_Cortex,6.1769161714468925,False,Irrelevant,1000,on,Raw,CA106
75,bary-sq_dtw_max,V1_V2,Prefrontal_Cortex,12.122916715754567,False,Irrelevant,1000,on,Raw,CA106
76,bary-sq_dtw_max,Category_Selective,V1_V2,10.762573469501145,False,Irrelevant,1000,on,Raw,CA106
77,bary-sq_dtw_max,IPS,V1_V2,10.84854665152159,False,Irrelevant,1000,on,Raw,CA106
78,bary-sq_dtw_max,Prefrontal_Cortex,V1_V2,12.122916715754567,False,Irrelevant,1000,on,Raw,CA106
81,bary-sq_dtw_max_time,IPS,Category_Selective,91.0,False,Irrelevant,1000,on,Raw,CA106
82,bary-sq_dtw_max_time,Prefrontal_Cortex,Category_Selective,192.0,False,Irrelevant,1000,on,Raw,CA106
83,bary-sq_dtw_max_time,V1_V2,Category_Selective,91.0,False,Irrelevant,1000,on,Raw,CA106
84,bary-sq_dtw_max_time,Category_Selective,IPS,91.0,False,Irrelevant,1000,on,Raw,CA106
86,bary-sq_dtw_max_time,Prefrontal_Cortex,IPS,688.0,False,Irrelevant,1000,on,Raw,CA106
87,bary-sq_dtw_max_time,V1_V2,IPS,95.0,False,Irrelevant,1000,on,Raw,CA106
88,bary-sq_dtw_max_time,Category_Selective,Prefrontal_Cortex,192.0,False,Irrelevant,1000,on,Raw,CA106
89,bary-sq_dtw_max_time,IPS,Prefrontal_Cortex,688.0,False,Irrelevant,1000,on,Raw,CA106
91,bary-sq_dtw_max_time,V1_V2,Prefrontal_Cortex,99.0,False,Irrelevant,1000,on,Raw,CA106
92,bary-sq_dtw_max_time,Category_Selective,V1_V2,91.0,False,Irrelevant,1000,on,Raw,CA106
93,bary-sq_dtw_max_time,IPS,V1_V2,95.0,False,Irrelevant,1000,on,Raw,CA106
94,bary-sq_dtw_max_time,Prefrontal_Cortex,V1_V2,99.0,False,Irrelevant,1000,on,Raw,CA106
97,bary-sq_sgddtw_mean,IPS,Category_Selective,0.5257126989891563,False,Irrelevant,1000,on,Raw,CA106
98,bary-sq_sgddtw_mean,Prefrontal_Cortex,Category_Selective,0.37393016223209025,False,Irrelevant,1000,on,Raw,CA106
99,bary-sq_sgddtw_mean,V1_V2,Category_Selective,0.23616154147772567,False,Irrelevant,1000,on,Raw,CA106
100,bary-sq_sgddtw_mean,Category_Selective,IPS,0.5257126989891563,False,Irrelevant,1000,on,Raw,CA106
102,bary-sq_sgddtw_mean,Prefrontal_Cortex,IPS,0.49184811035391424,False,Irrelevant,1000,on,Raw,CA106
103,bary-sq_sgddtw_mean,V1_V2,IPS,0.394446353169976,False,Irrelevant,1000,on,Raw,CA106
104,bary-sq_sgddtw_mean,Category_Selective,Prefrontal_Cortex,0.37393016223209025,False,Irrelevant,1000,on,Raw,CA106
105,bary-sq_sgddtw_mean,IPS,Prefrontal_Cortex,0.49184811035391424,False,Irrelevant,1000,on,Raw,CA106
107,bary-sq_sgddtw_mean,V1_V2,Prefrontal_Cortex,0.5914184637678853,False,Irrelevant,1000,on,Raw,CA106
108,bary-sq_sgddtw_mean,Category_Selective,V1_V2,0.23616154147772567,False,Irrelevant,1000,on,Raw,CA106
109,bary-sq_sgddtw_mean,IPS,V1_V2,0.394446353169976,False,Irrelevant,1000,on,Raw,CA106
110,bary-sq_sgddtw_mean,Prefrontal_Cortex,V1_V2,0.5914184637678853,False,Irrelevant,1000,on,Raw,CA106
113,bary-sq_sgddtw_max,IPS,Category_Selective,6.445858607963235,False,Irrelevant,1000,on,Raw,CA106
114,bary-sq_sgddtw_max,Prefrontal_Cortex,Category_Selective,6.660868726831867,False,Irrelevant,1000,on,Raw,CA106
115,bary-sq_sgddtw_max,V1_V2,Category_Selective,10.9333947172213,False,Irrelevant,1000,on,Raw,CA106
116,bary-sq_sgddtw_max,Category_Selective,IPS,6.445858607963235,False,Irrelevant,1000,on,Raw,CA106
118,bary-sq_sgddtw_max,Prefrontal_Cortex,IPS,4.91828038484082,False,Irrelevant,1000,on,Raw,CA106
119,bary-sq_sgddtw_max,V1_V2,IPS,11.820407456025519,False,Irrelevant,1000,on,Raw,CA106
120,bary-sq_sgddtw_max,Category_Selective,Prefrontal_Cortex,6.660868726831867,False,Irrelevant,1000,on,Raw,CA106
121,bary-sq_sgddtw_max,IPS,Prefrontal_Cortex,4.91828038484082,False,Irrelevant,1000,on,Raw,CA106
123,bary-sq_sgddtw_max,V1_V2,Prefrontal_Cortex,14.273084535396615,False,Irrelevant,1000,on,Raw,CA106
124,bary-sq_sgddtw_max,Category_Selective,V1_V2,10.9333947172213,False,Irrelevant,1000,on,Raw,CA106
125,bary-sq_sgddtw_max,IPS,V1_V2,11.820407456025519,False,Irrelevant,1000,on,Raw,CA106
126,bary-sq_sgddtw_max,Prefrontal_Cortex,V1_V2,14.273084535396615,False,Irrelevant,1000,on,Raw,CA106
129,bary-sq_sgddtw_max_time,IPS,Category_Selective,682.0,False,Irrelevant,1000,on,Raw,CA106
130,bary-sq_sgddtw_max_time,Prefrontal_Cortex,Category_Selective,406.0,False,Irrelevant,1000,on,Raw,CA106
131,bary-sq_sgddtw_max_time,V1_V2,Category_Selective,21.0,False,Irrelevant,1000,on,Raw,CA106
132,bary-sq_sgddtw_max_time,Category_Selective,IPS,682.0,False,Irrelevant,1000,on,Raw,CA106
134,bary-sq_sgddtw_max_time,Prefrontal_Cortex,IPS,688.0,False,Irrelevant,1000,on,Raw,CA106
135,bary-sq_sgddtw_max_time,V1_V2,IPS,95.0,False,Irrelevant,1000,on,Raw,CA106
136,bary-sq_sgddtw_max_time,Category_Selective,Prefrontal_Cortex,406.0,False,Irrelevant,1000,on,Raw,CA106
137,bary-sq_sgddtw_max_time,IPS,Prefrontal_Cortex,688.0,False,Irrelevant,1000,on,Raw,CA106
139,bary-sq_sgddtw_max_time,V1_V2,Prefrontal_Cortex,99.0,False,Irrelevant,1000,on,Raw,CA106
140,bary-sq_sgddtw_max_time,Category_Selective,V1_V2,21.0,False,Irrelevant,1000,on,Raw,CA106
141,bary-sq_sgddtw_max_time,IPS,V1_V2,95.0,False,Irrelevant,1000,on,Raw,CA106
142,bary-sq_sgddtw_max_time,Prefrontal_Cortex,V1_V2,99.0,False,Irrelevant,1000,on,Raw,CA106
145,bary-sq_softdtw_mean,IPS,Category_Selective,0.5621991705193728,False,Irrelevant,1000,on,Raw,CA106
146,bary-sq_softdtw_mean,Prefrontal_Cortex,Category_Selective,0.44499945450749356,False,Irrelevant,1000,on,Raw,CA106
147,bary-sq_softdtw_mean,V1_V2,Category_Selective,0.5280144562304394,False,Irrelevant,1000,on,Raw,CA106
148,bary-sq_softdtw_mean,Category_Selective,IPS,0.5621991705193728,False,Irrelevant,1000,on,Raw,CA106
150,bary-sq_softdtw_mean,Prefrontal_Cortex,IPS,0.5066811713974319,False,Irrelevant,1000,on,Raw,CA106
151,bary-sq_softdtw_mean,V1_V2,IPS,0.5657954980028623,False,Irrelevant,1000,on,Raw,CA106
152,bary-sq_softdtw_mean,Category_Selective,Prefrontal_Cortex,0.44499945450749356,False,Irrelevant,1000,on,Raw,CA106
153,bary-sq_softdtw_mean,IPS,Prefrontal_Cortex,0.5066811713974319,False,Irrelevant,1000,on,Raw,CA106
155,bary-sq_softdtw_mean,V1_V2,Prefrontal_Cortex,0.6499298113544127,False,Irrelevant,1000,on,Raw,CA106
156,bary-sq_softdtw_mean,Category_Selective,V1_V2,0.5280144562304394,False,Irrelevant,1000,on,Raw,CA106
157,bary-sq_softdtw_mean,IPS,V1_V2,0.5657954980028623,False,Irrelevant,1000,on,Raw,CA106
158,bary-sq_softdtw_mean,Prefrontal_Cortex,V1_V2,0.6499298113544127,False,Irrelevant,1000,on,Raw,CA106
161,bary-sq_softdtw_max,IPS,Category_Selective,5.555829612839118,False,Irrelevant,1000,on,Raw,CA106
162,bary-sq_softdtw_max,Prefrontal_Cortex,Category_Selective,5.265984960539019,False,Irrelevant,1000,on,Raw,CA106
163,bary-sq_softdtw_max,V1_V2,Category_Selective,11.359141148817823,False,Irrelevant,1000,on,Raw,CA106
164,bary-sq_softdtw_max,Category_Selective,IPS,5.555829612839118,False,Irrelevant,1000,on,Raw,CA106
166,bary-sq_softdtw_max,Prefrontal_Cortex,IPS,5.199004035416242,False,Irrelevant,1000,on,Raw,CA106
167,bary-sq_softdtw_max,V1_V2,IPS,12.965739958755435,False,Irrelevant,1000,on,Raw,CA106
