Presentation,Barycenter_Type,Mean,Max,Max_Time,Subject,Region,Relevance,Stimulus,Barycenter_Method
Onset,Original,1.9875321280002802e-16,2.2978816310294254,461,sub-CA113,CS_PFC,Irrelevant,False,euclidean
Offset,Original,8.526512829121202e-17,2.5597374341540644,988,sub-CA113,CS_PFC,Irrelevant,False,euclidean
Onset,Squared,0.5683651640802454,6.26979349266892,1,sub-CA113,CS_PFC,Irrelevant,False,euclidean
Offset,Squared,0.5771275132769197,6.552255731809633,988,sub-CA113,CS_PFC,Irrelevant,False,euclidean
Onset,Original,-1.1002409994287265e-16,2.83676132179603,1,sub-CA113,CS_PFC_abs,Irrelevant,False,euclidean
Offset,Original,1.0658141036401502e-16,2.9707467993907954,988,sub-CA113,CS_PFC_abs,Irrelevant,False,euclidean
Onset,Squared,0.49494297369378687,8.04721479683796,1,sub-CA113,CS_PFC_abs,Irrelevant,False,euclidean
Offset,Squared,0.5261266209649423,8.825336546090655,988,sub-CA113,CS_PFC_abs,Irrelevant,False,euclidean
Onset,Original,2.0940070634288668e-16,1.5673968960593017,86,sub-CA113,CS_VIS,Irrelevant,False,euclidean
Offset,Original,1.3500311979441903e-16,1.4320498469402074,879,sub-CA113,CS_VIS,Irrelevant,False,euclidean
Onset,Squared,0.29976378981196977,3.8927182910732996,149,sub-CA113,CS_VIS,Irrelevant,False,euclidean
Offset,Squared,0.367407647196657,5.139324334082083,631,sub-CA113,CS_VIS,Irrelevant,False,euclidean
Onset,Original,-2.129498708571729e-16,3.573917794963118,461,sub-CA113,CS_VIS_abs,Irrelevant,False,euclidean
Offset,Original,1.4210854715202004e-17,2.793739211982145,247,sub-CA113,CS_VIS_abs,Irrelevant,False,euclidean
Onset,Squared,0.5694157870462218,12.772888405154035,461,sub-CA113,CS_VIS_abs,Irrelevant,False,euclidean
Offset,Squared,0.5179703502727053,7.804978784566617,247,sub-CA113,CS_VIS_abs,Irrelevant,False,euclidean
Onset,Original,-0.013279132400625691,2.528414517601308,330,sub-CA113,CS_PFC,Irrelevant,False,dtw
Offset,Original,-0.0013207477019634766,2.9309255201929325,239,sub-CA113,CS_PFC,Irrelevant,False,dtw
Onset,Squared,0.65189676773472,6.769326626422673,152,sub-CA113,CS_PFC,Irrelevant,False,dtw
Offset,Squared,0.6411205251384426,8.590324404918212,239,sub-CA113,CS_PFC,Irrelevant,False,dtw
Onset,Original,0.03132680468860588,3.101120684379567,461,sub-CA113,CS_PFC_abs,Irrelevant,False,dtw
Offset,Original,0.02420479525508064,3.0062718584465467,239,sub-CA113,CS_PFC_abs,Irrelevant,False,dtw
Onset,Squared,0.6386384100348965,9.616949499086795,461,sub-CA113,CS_PFC_abs,Irrelevant,False,dtw
Offset,Squared,0.6944960822617146,9.037670486887654,239,sub-CA113,CS_PFC_abs,Irrelevant,False,dtw
Onset,Original,-0.005996575283076951,2.3559733993710825,251,sub-CA113,CS_VIS,Irrelevant,False,dtw
Offset,Original,0.00861903017756859,2.0921302372976225,240,sub-CA113,CS_VIS,Irrelevant,False,dtw
Onset,Squared,0.42198068754553836,6.4147629909765485,149,sub-CA113,CS_VIS,Irrelevant,False,dtw
Offset,Squared,0.4999113220968405,6.711993304026455,715,sub-CA113,CS_VIS,Irrelevant,False,dtw
Onset,Original,0.0286179409678902,3.573917794963118,461,sub-CA113,CS_VIS_abs,Irrelevant,False,dtw
Offset,Original,0.004872827429276623,3.0121616222067296,715,sub-CA113,CS_VIS_abs,Irrelevant,False,dtw
Onset,Squared,0.7126173298897933,12.772888405154035,461,sub-CA113,CS_VIS_abs,Irrelevant,False,dtw
Offset,Squared,0.6420108768001339,9.073117638295077,715,sub-CA113,CS_VIS_abs,Irrelevant,False,dtw
Onset,Original,-1.916548837714556e-16,1.9646445370308312,380,sub-CA113,CS_PFC,Relevant non-target,False,euclidean
Offset,Original,-1.8474111129762604e-16,2.02343000688068,625,sub-CA113,CS_PFC,Relevant non-target,False,euclidean
Onset,Squared,0.5106287627542789,4.0325279469842705,826,sub-CA113,CS_PFC,Relevant non-target,False,euclidean
Offset,Squared,0.47880863199657164,4.981589275528886,920,sub-CA113,CS_PFC,Relevant non-target,False,euclidean
Onset,Original,1.668107321714521e-16,2.3960453370918584,46,sub-CA113,CS_PFC_abs,Relevant non-target,False,euclidean
Offset,Original,9.592326932761352e-17,2.428961978957047,768,sub-CA113,CS_PFC_abs,Relevant non-target,False,euclidean
Onset,Squared,0.4691868664502387,5.741033257399637,46,sub-CA113,CS_PFC_abs,Relevant non-target,False,euclidean
Offset,Squared,0.43668964005854594,5.899856295218934,768,sub-CA113,CS_PFC_abs,Relevant non-target,False,euclidean
Onset,Original,1.8810571925716937e-16,1.4058845207545958,46,sub-CA113,CS_VIS,Relevant non-target,False,euclidean
Offset,Original,1.8118839761882554e-16,1.586032253287408,282,sub-CA113,CS_VIS,Relevant non-target,False,euclidean
Onset,Squared,0.3027621055700715,4.747458894214951,369,sub-CA113,CS_VIS,Relevant non-target,False,euclidean
Offset,Squared,0.27817217595290006,2.515498308467933,282,sub-CA113,CS_VIS,Relevant non-target,False,euclidean
Onset,Original,7.808161931429673e-17,2.6728750196163964,202,sub-CA113,CS_VIS_abs,Relevant non-target,False,euclidean
Offset,Original,7.460698725481052e-17,2.9823017998238517,153,sub-CA113,CS_VIS_abs,Relevant non-target,False,euclidean
Onset,Squared,0.5470742665003766,7.144260870489352,202,sub-CA113,CS_VIS_abs,Relevant non-target,False,euclidean
Offset,Squared,0.5372168201815362,8.894124025232585,153,sub-CA113,CS_VIS_abs,Relevant non-target,False,euclidean
Onset,Original,-0.018358158010677073,2.13491757585563,415,sub-CA113,CS_PFC,Relevant non-target,False,dtw
Offset,Original,-0.0038504267996814436,2.0956543009518818,282,sub-CA113,CS_PFC,Relevant non-target,False,dtw
Onset,Squared,0.5858010378256027,4.5578730556972795,415,sub-CA113,CS_PFC,Relevant non-target,False,dtw
Offset,Squared,0.5661256669641066,5.052497148480243,936,sub-CA113,CS_PFC,Relevant non-target,False,dtw
Onset,Original,0.012879663966932272,2.660048979233307,166,sub-CA113,CS_PFC_abs,Relevant non-target,False,dtw
Offset,Original,0.01759423029417501,2.5853246301163786,164,sub-CA113,CS_PFC_abs,Relevant non-target,False,dtw
Onset,Squared,0.6408325363214857,7.075860571920159,166,sub-CA113,CS_PFC_abs,Relevant non-target,False,dtw
Offset,Squared,0.6115020638674584,6.68390344308639,164,sub-CA113,CS_PFC_abs,Relevant non-target,False,dtw
Onset,Original,0.00022214626154943323,2.059779992393808,729,sub-CA113,CS_VIS,Relevant non-target,False,dtw
Offset,Original,-0.015851091736575295,2.092889580168808,794,sub-CA113,CS_VIS,Relevant non-target,False,dtw
