index,SPI,meta_ROI_from,meta_ROI_to,value,stimulus_type,relevance_type,duration,stimulus_presentation,Data_Type,subject_ID
1,bary-sq_euclidean_mean,IPS,Category_Selective,0.6001964709594285,False,Irrelevant,1000,on,Raw,CB081
2,bary-sq_euclidean_mean,Prefrontal_Cortex,Category_Selective,0.5016889165102726,False,Irrelevant,1000,on,Raw,CB081
3,bary-sq_euclidean_mean,V1_V2,Category_Selective,0.17537434963092624,False,Irrelevant,1000,on,Raw,CB081
4,bary-sq_euclidean_mean,Category_Selective,IPS,0.6001964709594285,False,Irrelevant,1000,on,Raw,CB081
6,bary-sq_euclidean_mean,Prefrontal_Cortex,IPS,0.5042791319200027,False,Irrelevant,1000,on,Raw,CB081
7,bary-sq_euclidean_mean,V1_V2,IPS,0.24612174846532495,False,Irrelevant,1000,on,Raw,CB081
8,bary-sq_euclidean_mean,Category_Selective,Prefrontal_Cortex,0.5016889165102726,False,Irrelevant,1000,on,Raw,CB081
9,bary-sq_euclidean_mean,IPS,Prefrontal_Cortex,0.5042791319200027,False,Irrelevant,1000,on,Raw,CB081
11,bary-sq_euclidean_mean,V1_V2,Prefrontal_Cortex,0.44774704912260366,False,Irrelevant,1000,on,Raw,CB081
12,bary-sq_euclidean_mean,Category_Selective,V1_V2,0.17537434963092624,False,Irrelevant,1000,on,Raw,CB081
13,bary-sq_euclidean_mean,IPS,V1_V2,0.24612174846532495,False,Irrelevant,1000,on,Raw,CB081
14,bary-sq_euclidean_mean,Prefrontal_Cortex,V1_V2,0.44774704912260366,False,Irrelevant,1000,on,Raw,CB081
17,bary-sq_euclidean_max,IPS,Category_Selective,7.0991012373993705,False,Irrelevant,1000,on,Raw,CB081
18,bary-sq_euclidean_max,Prefrontal_Cortex,Category_Selective,4.760622634246165,False,Irrelevant,1000,on,Raw,CB081
19,bary-sq_euclidean_max,V1_V2,Category_Selective,1.7224253001309064,False,Irrelevant,1000,on,Raw,CB081
20,bary-sq_euclidean_max,Category_Selective,IPS,7.0991012373993705,False,Irrelevant,1000,on,Raw,CB081
22,bary-sq_euclidean_max,Prefrontal_Cortex,IPS,5.815449519702477,False,Irrelevant,1000,on,Raw,CB081
23,bary-sq_euclidean_max,V1_V2,IPS,2.924361403309328,False,Irrelevant,1000,on,Raw,CB081
24,bary-sq_euclidean_max,Category_Selective,Prefrontal_Cortex,4.760622634246165,False,Irrelevant,1000,on,Raw,CB081
25,bary-sq_euclidean_max,IPS,Prefrontal_Cortex,5.815449519702477,False,Irrelevant,1000,on,Raw,CB081
27,bary-sq_euclidean_max,V1_V2,Prefrontal_Cortex,4.448655052742794,False,Irrelevant,1000,on,Raw,CB081
28,bary-sq_euclidean_max,Category_Selective,V1_V2,1.7224253001309064,False,Irrelevant,1000,on,Raw,CB081
29,bary-sq_euclidean_max,IPS,V1_V2,2.924361403309328,False,Irrelevant,1000,on,Raw,CB081
30,bary-sq_euclidean_max,Prefrontal_Cortex,V1_V2,4.448655052742794,False,Irrelevant,1000,on,Raw,CB081
33,bary-sq_euclidean_max_time,IPS,Category_Selective,76.0,False,Irrelevant,1000,on,Raw,CB081
34,bary-sq_euclidean_max_time,Prefrontal_Cortex,Category_Selective,834.0,False,Irrelevant,1000,on,Raw,CB081
35,bary-sq_euclidean_max_time,V1_V2,Category_Selective,33.0,False,Irrelevant,1000,on,Raw,CB081
36,bary-sq_euclidean_max_time,Category_Selective,IPS,76.0,False,Irrelevant,1000,on,Raw,CB081
38,bary-sq_euclidean_max_time,Prefrontal_Cortex,IPS,965.0,False,Irrelevant,1000,on,Raw,CB081
39,bary-sq_euclidean_max_time,V1_V2,IPS,43.0,False,Irrelevant,1000,on,Raw,CB081
40,bary-sq_euclidean_max_time,Category_Selective,Prefrontal_Cortex,834.0,False,Irrelevant,1000,on,Raw,CB081
41,bary-sq_euclidean_max_time,IPS,Prefrontal_Cortex,965.0,False,Irrelevant,1000,on,Raw,CB081
43,bary-sq_euclidean_max_time,V1_V2,Prefrontal_Cortex,717.0,False,Irrelevant,1000,on,Raw,CB081
44,bary-sq_euclidean_max_time,Category_Selective,V1_V2,33.0,False,Irrelevant,1000,on,Raw,CB081
45,bary-sq_euclidean_max_time,IPS,V1_V2,43.0,False,Irrelevant,1000,on,Raw,CB081
46,bary-sq_euclidean_max_time,Prefrontal_Cortex,V1_V2,717.0,False,Irrelevant,1000,on,Raw,CB081
49,bary-sq_dtw_mean,IPS,Category_Selective,0.6420231636559877,False,Irrelevant,1000,on,Raw,CB081
50,bary-sq_dtw_mean,Prefrontal_Cortex,Category_Selective,0.6147649474209034,False,Irrelevant,1000,on,Raw,CB081
51,bary-sq_dtw_mean,V1_V2,Category_Selective,0.27730934857798584,False,Irrelevant,1000,on,Raw,CB081
52,bary-sq_dtw_mean,Category_Selective,IPS,0.6420231636559877,False,Irrelevant,1000,on,Raw,CB081
54,bary-sq_dtw_mean,Prefrontal_Cortex,IPS,0.5844977883563165,False,Irrelevant,1000,on,Raw,CB081
55,bary-sq_dtw_mean,V1_V2,IPS,0.2734877297855811,False,Irrelevant,1000,on,Raw,CB081
56,bary-sq_dtw_mean,Category_Selective,Prefrontal_Cortex,0.6147649474209034,False,Irrelevant,1000,on,Raw,CB081
57,bary-sq_dtw_mean,IPS,Prefrontal_Cortex,0.5844977883563165,False,Irrelevant,1000,on,Raw,CB081
59,bary-sq_dtw_mean,V1_V2,Prefrontal_Cortex,0.5477981959612293,False,Irrelevant,1000,on,Raw,CB081
60,bary-sq_dtw_mean,Category_Selective,V1_V2,0.27730934857798584,False,Irrelevant,1000,on,Raw,CB081
61,bary-sq_dtw_mean,IPS,V1_V2,0.2734877297855811,False,Irrelevant,1000,on,Raw,CB081
62,bary-sq_dtw_mean,Prefrontal_Cortex,V1_V2,0.5477981959612293,False,Irrelevant,1000,on,Raw,CB081
65,bary-sq_dtw_max,IPS,Category_Selective,5.778953442592688,False,Irrelevant,1000,on,Raw,CB081
66,bary-sq_dtw_max,Prefrontal_Cortex,Category_Selective,7.342488319298123,False,Irrelevant,1000,on,Raw,CB081
67,bary-sq_dtw_max,V1_V2,Category_Selective,4.233364630854288,False,Irrelevant,1000,on,Raw,CB081
68,bary-sq_dtw_max,Category_Selective,IPS,5.778953442592688,False,Irrelevant,1000,on,Raw,CB081
70,bary-sq_dtw_max,Prefrontal_Cortex,IPS,5.815449519702477,False,Irrelevant,1000,on,Raw,CB081
71,bary-sq_dtw_max,V1_V2,IPS,4.012844880912789,False,Irrelevant,1000,on,Raw,CB081
72,bary-sq_dtw_max,Category_Selective,Prefrontal_Cortex,7.342488319298123,False,Irrelevant,1000,on,Raw,CB081
73,bary-sq_dtw_max,IPS,Prefrontal_Cortex,5.815449519702477,False,Irrelevant,1000,on,Raw,CB081
75,bary-sq_dtw_max,V1_V2,Prefrontal_Cortex,5.5062736417466995,False,Irrelevant,1000,on,Raw,CB081
76,bary-sq_dtw_max,Category_Selective,V1_V2,4.233364630854288,False,Irrelevant,1000,on,Raw,CB081
77,bary-sq_dtw_max,IPS,V1_V2,4.012844880912789,False,Irrelevant,1000,on,Raw,CB081
78,bary-sq_dtw_max,Prefrontal_Cortex,V1_V2,5.5062736417466995,False,Irrelevant,1000,on,Raw,CB081
81,bary-sq_dtw_max_time,IPS,Category_Selective,290.0,False,Irrelevant,1000,on,Raw,CB081
82,bary-sq_dtw_max_time,Prefrontal_Cortex,Category_Selective,289.0,False,Irrelevant,1000,on,Raw,CB081
83,bary-sq_dtw_max_time,V1_V2,Category_Selective,199.0,False,Irrelevant,1000,on,Raw,CB081
84,bary-sq_dtw_max_time,Category_Selective,IPS,290.0,False,Irrelevant,1000,on,Raw,CB081
86,bary-sq_dtw_max_time,Prefrontal_Cortex,IPS,965.0,False,Irrelevant,1000,on,Raw,CB081
87,bary-sq_dtw_max_time,V1_V2,IPS,186.0,False,Irrelevant,1000,on,Raw,CB081
88,bary-sq_dtw_max_time,Category_Selective,Prefrontal_Cortex,289.0,False,Irrelevant,1000,on,Raw,CB081
89,bary-sq_dtw_max_time,IPS,Prefrontal_Cortex,965.0,False,Irrelevant,1000,on,Raw,CB081
91,bary-sq_dtw_max_time,V1_V2,Prefrontal_Cortex,675.0,False,Irrelevant,1000,on,Raw,CB081
92,bary-sq_dtw_max_time,Category_Selective,V1_V2,199.0,False,Irrelevant,1000,on,Raw,CB081
93,bary-sq_dtw_max_time,IPS,V1_V2,186.0,False,Irrelevant,1000,on,Raw,CB081
94,bary-sq_dtw_max_time,Prefrontal_Cortex,V1_V2,675.0,False,Irrelevant,1000,on,Raw,CB081
97,bary-sq_sgddtw_mean,IPS,Category_Selective,0.6166787724216237,False,Irrelevant,1000,on,Raw,CB081
98,bary-sq_sgddtw_mean,Prefrontal_Cortex,Category_Selective,0.5305687314474917,False,Irrelevant,1000,on,Raw,CB081
99,bary-sq_sgddtw_mean,V1_V2,Category_Selective,0.23922391479460595,False,Irrelevant,1000,on,Raw,CB081
100,bary-sq_sgddtw_mean,Category_Selective,IPS,0.6166787724216237,False,Irrelevant,1000,on,Raw,CB081
102,bary-sq_sgddtw_mean,Prefrontal_Cortex,IPS,0.5265516410178068,False,Irrelevant,1000,on,Raw,CB081
103,bary-sq_sgddtw_mean,V1_V2,IPS,0.2840153327046755,False,Irrelevant,1000,on,Raw,CB081
104,bary-sq_sgddtw_mean,Category_Selective,Prefrontal_Cortex,0.5305687314474917,False,Irrelevant,1000,on,Raw,CB081
105,bary-sq_sgddtw_mean,IPS,Prefrontal_Cortex,0.5265516410178068,False,Irrelevant,1000,on,Raw,CB081
107,bary-sq_sgddtw_mean,V1_V2,Prefrontal_Cortex,0.4760167890228862,False,Irrelevant,1000,on,Raw,CB081
108,bary-sq_sgddtw_mean,Category_Selective,V1_V2,0.23922391479460595,False,Irrelevant,1000,on,Raw,CB081
109,bary-sq_sgddtw_mean,IPS,V1_V2,0.2840153327046755,False,Irrelevant,1000,on,Raw,CB081
110,bary-sq_sgddtw_mean,Prefrontal_Cortex,V1_V2,0.4760167890228862,False,Irrelevant,1000,on,Raw,CB081
113,bary-sq_sgddtw_max,IPS,Category_Selective,6.180307929594568,False,Irrelevant,1000,on,Raw,CB081
114,bary-sq_sgddtw_max,Prefrontal_Cortex,Category_Selective,4.923604169175124,False,Irrelevant,1000,on,Raw,CB081
115,bary-sq_sgddtw_max,V1_V2,Category_Selective,16.514843061562022,False,Irrelevant,1000,on,Raw,CB081
116,bary-sq_sgddtw_max,Category_Selective,IPS,6.180307929594568,False,Irrelevant,1000,on,Raw,CB081
118,bary-sq_sgddtw_max,Prefrontal_Cortex,IPS,6.168261917112036,False,Irrelevant,1000,on,Raw,CB081
119,bary-sq_sgddtw_max,V1_V2,IPS,12.052126182015334,False,Irrelevant,1000,on,Raw,CB081
120,bary-sq_sgddtw_max,Category_Selective,Prefrontal_Cortex,4.923604169175124,False,Irrelevant,1000,on,Raw,CB081
121,bary-sq_sgddtw_max,IPS,Prefrontal_Cortex,6.168261917112036,False,Irrelevant,1000,on,Raw,CB081
123,bary-sq_sgddtw_max,V1_V2,Prefrontal_Cortex,4.9915702441582965,False,Irrelevant,1000,on,Raw,CB081
124,bary-sq_sgddtw_max,Category_Selective,V1_V2,16.514843061562022,False,Irrelevant,1000,on,Raw,CB081
125,bary-sq_sgddtw_max,IPS,V1_V2,12.052126182015334,False,Irrelevant,1000,on,Raw,CB081
126,bary-sq_sgddtw_max,Prefrontal_Cortex,V1_V2,4.9915702441582965,False,Irrelevant,1000,on,Raw,CB081
129,bary-sq_sgddtw_max_time,IPS,Category_Selective,76.0,False,Irrelevant,1000,on,Raw,CB081
130,bary-sq_sgddtw_max_time,Prefrontal_Cortex,Category_Selective,288.0,False,Irrelevant,1000,on,Raw,CB081
131,bary-sq_sgddtw_max_time,V1_V2,Category_Selective,289.0,False,Irrelevant,1000,on,Raw,CB081
132,bary-sq_sgddtw_max_time,Category_Selective,IPS,76.0,False,Irrelevant,1000,on,Raw,CB081
134,bary-sq_sgddtw_max_time,Prefrontal_Cortex,IPS,965.0,False,Irrelevant,1000,on,Raw,CB081
135,bary-sq_sgddtw_max_time,V1_V2,IPS,444.0,False,Irrelevant,1000,on,Raw,CB081
136,bary-sq_sgddtw_max_time,Category_Selective,Prefrontal_Cortex,288.0,False,Irrelevant,1000,on,Raw,CB081
137,bary-sq_sgddtw_max_time,IPS,Prefrontal_Cortex,965.0,False,Irrelevant,1000,on,Raw,CB081
139,bary-sq_sgddtw_max_time,V1_V2,Prefrontal_Cortex,717.0,False,Irrelevant,1000,on,Raw,CB081
140,bary-sq_sgddtw_max_time,Category_Selective,V1_V2,289.0,False,Irrelevant,1000,on,Raw,CB081
141,bary-sq_sgddtw_max_time,IPS,V1_V2,444.0,False,Irrelevant,1000,on,Raw,CB081
142,bary-sq_sgddtw_max_time,Prefrontal_Cortex,V1_V2,717.0,False,Irrelevant,1000,on,Raw,CB081
145,bary-sq_softdtw_mean,IPS,Category_Selective,0.6261360221774962,False,Irrelevant,1000,on,Raw,CB081
146,bary-sq_softdtw_mean,Prefrontal_Cortex,Category_Selective,0.5639784588906543,False,Irrelevant,1000,on,Raw,CB081
147,bary-sq_softdtw_mean,V1_V2,Category_Selective,0.4793992182466721,False,Irrelevant,1000,on,Raw,CB081
148,bary-sq_softdtw_mean,Category_Selective,IPS,0.6261360221774962,False,Irrelevant,1000,on,Raw,CB081
150,bary-sq_softdtw_mean,Prefrontal_Cortex,IPS,0.5197164873441797,False,Irrelevant,1000,on,Raw,CB081
151,bary-sq_softdtw_mean,V1_V2,IPS,0.4492378296044073,False,Irrelevant,1000,on,Raw,CB081
152,bary-sq_softdtw_mean,Category_Selective,Prefrontal_Cortex,0.5639784588906543,False,Irrelevant,1000,on,Raw,CB081
153,bary-sq_softdtw_mean,IPS,Prefrontal_Cortex,0.5197164873441797,False,Irrelevant,1000,on,Raw,CB081
155,bary-sq_softdtw_mean,V1_V2,Prefrontal_Cortex,0.5429529136291247,False,Irrelevant,1000,on,Raw,CB081
156,bary-sq_softdtw_mean,Category_Selective,V1_V2,0.4793992182466721,False,Irrelevant,1000,on,Raw,CB081
157,bary-sq_softdtw_mean,IPS,V1_V2,0.4492378296044073,False,Irrelevant,1000,on,Raw,CB081
158,bary-sq_softdtw_mean,Prefrontal_Cortex,V1_V2,0.5429529136291247,False,Irrelevant,1000,on,Raw,CB081
161,bary-sq_softdtw_max,IPS,Category_Selective,5.200268930732146,False,Irrelevant,1000,on,Raw,CB081
162,bary-sq_softdtw_max,Prefrontal_Cortex,Category_Selective,6.284099571047539,False,Irrelevant,1000,on,Raw,CB081
163,bary-sq_softdtw_max,V1_V2,Category_Selective,4.655903779698597,False,Irrelevant,1000,on,Raw,CB081
164,bary-sq_softdtw_max,Category_Selective,IPS,5.200268930732146,False,Irrelevant,1000,on,Raw,CB081
166,bary-sq_softdtw_max,Prefrontal_Cortex,IPS,4.9472291672795965,False,Irrelevant,1000,on,Raw,CB081
167,bary-sq_softdtw_max,V1_V2,IPS,4.50947807890373,False,Irrelevant,1000,on,Raw,CB081
168,bary-sq_softdtw_max,Category_Selective,Prefrontal_Cortex,6.284099571047539,False,Irrelevant,1000,on,Raw,CB081
169,bary-sq_softdtw_max,IPS,Prefrontal_Cortex,4.9472291672795965,False,Irrelevant,1000,on,Raw,CB081
171,bary-sq_softdtw_max,V1_V2,Prefrontal_Cortex,4.454963018949789,False,Irrelevant,1000,on,Raw,CB081
172,bary-sq_softdtw_max,Category_Selective,V1_V2,4.655903779698597,False,Irrelevant,1000,on,Raw,CB081
173,bary-sq_softdtw_max,IPS,V1_V2,4.50947807890373,False,Irrelevant,1000,on,Raw,CB081
174,bary-sq_softdtw_max,Prefrontal_Cortex,V1_V2,4.454963018949789,False,Irrelevant,1000,on,Raw,CB081
177,bary-sq_softdtw_max_time,IPS,Category_Selective,77.0,False,Irrelevant,1000,on,Raw,CB081
178,bary-sq_softdtw_max_time,Prefrontal_Cortex,Category_Selective,318.0,False,Irrelevant,1000,on,Raw,CB081
179,bary-sq_softdtw_max_time,V1_V2,Category_Selective,28.0,False,Irrelevant,1000,on,Raw,CB081
180,bary-sq_softdtw_max_time,Category_Selective,IPS,77.0,False,Irrelevant,1000,on,Raw,CB081
182,bary-sq_softdtw_max_time,Prefrontal_Cortex,IPS,717.0,False,Irrelevant,1000,on,Raw,CB081
183,bary-sq_softdtw_max_time,V1_V2,IPS,444.0,False,Irrelevant,1000,on,Raw,CB081
184,bary-sq_softdtw_max_time,Category_Selective,Prefrontal_Cortex,318.0,False,Irrelevant,1000,on,Raw,CB081
185,bary-sq_softdtw_max_time,IPS,Prefrontal_Cortex,717.0,False,Irrelevant,1000,on,Raw,CB081
187,bary-sq_softdtw_max_time,V1_V2,Prefrontal_Cortex,327.0,False,Irrelevant,1000,on,Raw,CB081
188,bary-sq_softdtw_max_time,Category_Selective,V1_V2,28.0,False,Irrelevant,1000,on,Raw,CB081
189,bary-sq_softdtw_max_time,IPS,V1_V2,444.0,False,Irrelevant,1000,on,Raw,CB081
190,bary-sq_softdtw_max_time,Prefrontal_Cortex,V1_V2,327.0,False,Irrelevant,1000,on,Raw,CB081
1,bary-sq_euclidean_mean,IPS,Category_Selective,0.5507405974903657,False,Irrelevant,1000,on,Abs,CB081
2,bary-sq_euclidean_mean,Prefrontal_Cortex,Category_Selective,0.5104580957474752,False,Irrelevant,1000,on,Abs,CB081
3,bary-sq_euclidean_mean,V1_V2,Category_Selective,0.6911411834942065,False,Irrelevant,1000,on,Abs,CB081
4,bary-sq_euclidean_mean,Category_Selective,IPS,0.5507405974903657,False,Irrelevant,1000,on,Abs,CB081
6,bary-sq_euclidean_mean,Prefrontal_Cortex,IPS,0.4977501557674417,False,Irrelevant,1000,on,Abs,CB081
7,bary-sq_euclidean_mean,V1_V2,IPS,0.6729221105569475,False,Irrelevant,1000,on,Abs,CB081
8,bary-sq_euclidean_mean,Category_Selective,Prefrontal_Cortex,0.5104580957474752,False,Irrelevant,1000,on,Abs,CB081
9,bary-sq_euclidean_mean,IPS,Prefrontal_Cortex,0.4977501557674417,False,Irrelevant,1000,on,Abs,CB081
11,bary-sq_euclidean_mean,V1_V2,Prefrontal_Cortex,0.502056693504743,False,Irrelevant,1000,on,Abs,CB081
12,bary-sq_euclidean_mean,Category_Selective,V1_V2,0.6911411834942065,False,Irrelevant,1000,on,Abs,CB081
13,bary-sq_euclidean_mean,IPS,V1_V2,0.6729221105569475,False,Irrelevant,1000,on,Abs,CB081
14,bary-sq_euclidean_mean,Prefrontal_Cortex,V1_V2,0.502056693504743,False,Irrelevant,1000,on,Abs,CB081
17,bary-sq_euclidean_max,IPS,Category_Selective,6.8390579851966,False,Irrelevant,1000,on,Abs,CB081
18,bary-sq_euclidean_max,Prefrontal_Cortex,Category_Selective,6.6883665255803955,False,Irrelevant,1000,on,Abs,CB081
19,bary-sq_euclidean_max,V1_V2,Category_Selective,9.113245775974601,False,Irrelevant,1000,on,Abs,CB081
20,bary-sq_euclidean_max,Category_Selective,IPS,6.8390579851966,False,Irrelevant,1000,on,Abs,CB081
22,bary-sq_euclidean_max,Prefrontal_Cortex,IPS,6.220298146721058,False,Irrelevant,1000,on,Abs,CB081
23,bary-sq_euclidean_max,V1_V2,IPS,6.518972956048923,False,Irrelevant,1000,on,Abs,CB081
24,bary-sq_euclidean_max,Category_Selective,Prefrontal_Cortex,6.6883665255803955,False,Irrelevant,1000,on,Abs,CB081
25,bary-sq_euclidean_max,IPS,Prefrontal_Cortex,6.220298146721058,False,Irrelevant,1000,on,Abs,CB081
27,bary-sq_euclidean_max,V1_V2,Prefrontal_Cortex,6.852522931708874,False,Irrelevant,1000,on,Abs,CB081
28,bary-sq_euclidean_max,Category_Selective,V1_V2,9.113245775974601,False,Irrelevant,1000,on,Abs,CB081
29,bary-sq_euclidean_max,IPS,V1_V2,6.518972956048923,False,Irrelevant,1000,on,Abs,CB081
30,bary-sq_euclidean_max,Prefrontal_Cortex,V1_V2,6.852522931708874,False,Irrelevant,1000,on,Abs,CB081
33,bary-sq_euclidean_max_time,IPS,Category_Selective,290.0,False,Irrelevant,1000,on,Abs,CB081
34,bary-sq_euclidean_max_time,Prefrontal_Cortex,Category_Selective,150.0,False,Irrelevant,1000,on,Abs,CB081
35,bary-sq_euclidean_max_time,V1_V2,Category_Selective,322.0,False,Irrelevant,1000,on,Abs,CB081
36,bary-sq_euclidean_max_time,Category_Selective,IPS,290.0,False,Irrelevant,1000,on,Abs,CB081
38,bary-sq_euclidean_max_time,Prefrontal_Cortex,IPS,451.0,False,Irrelevant,1000,on,Abs,CB081
