SPI,meta_ROI_from,meta_ROI_to,stimulus_presentation,comparison,accuracy
cov_EmpiricalCovariance,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5337500000000001
cov_GraphicalLasso,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.533611111111111
cov_GraphicalLassoCV,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5215277777777778
cov_LedoitWolf,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5363888888888889
cov_OAS,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5377777777777778
cov_ShrunkCovariance,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5337500000000001
cov-sq_EmpiricalCovariance,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5038888888888888
cov-sq_GraphicalLasso,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5065277777777777
cov-sq_LedoitWolf,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5040277777777777
cov-sq_OAS,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5054166666666667
cov-sq_ShrunkCovariance,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5038888888888888
prec_EmpiricalCovariance,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5495833333333333
prec_GraphicalLasso,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5434722222222221
prec_LedoitWolf,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.547638888888889
prec_OAS,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.54625
prec_ShrunkCovariance,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5423611111111111
prec-sq_EmpiricalCovariance,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4916666666666666
prec-sq_GraphicalLasso,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.4904166666666666
prec-sq_LedoitWolf,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.48902777777777773
prec-sq_OAS,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.48902777777777773
prec-sq_ShrunkCovariance,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.49444444444444446
spearmanr-sq,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5159722222222223
spearmanr,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5194444444444445
kendalltau-sq,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5158333333333334
kendalltau,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5233333333333333
xcorr_max_sig-True,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5050000000000001
xcorr-sq_max_sig-True,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5280555555555555
xcorr_mean_sig-True,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5186111111111111
xcorr-sq_mean_sig-True,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5208333333333333
xcorr_mean_sig-False,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5041666666666667
xcorr-sq_mean_sig-False,Category_Selective,IPS,on,Relevant non-target vs. Irrelevant,0.5059722222222222
