SPI,meta_ROI_from,meta_ROI_to,value,Data_Type,Noise,sim_num,sim_context
bary-sq_euclidean_max,Prefrontal_Cortex,Category_Selective,5.169215250873898,Raw,1,0,GNWT_stim_off
bary-sq_euclidean_max,Category_Selective,Prefrontal_Cortex,5.169215250873898,Raw,1,0,GNWT_stim_off
bary-sq_euclidean_max_time,Prefrontal_Cortex,Category_Selective,64.0,Raw,1,0,GNWT_stim_off
bary-sq_euclidean_max_time,Category_Selective,Prefrontal_Cortex,64.0,Raw,1,0,GNWT_stim_off
bary-sq_dtw_max,Prefrontal_Cortex,Category_Selective,10.241190689401394,Raw,1,0,GNWT_stim_off
bary-sq_dtw_max,Category_Selective,Prefrontal_Cortex,10.241190689401394,Raw,1,0,GNWT_stim_off
bary-sq_dtw_max_time,Prefrontal_Cortex,Category_Selective,887.0,Raw,1,0,GNWT_stim_off
bary-sq_dtw_max_time,Category_Selective,Prefrontal_Cortex,887.0,Raw,1,0,GNWT_stim_off
bary-sq_sgddtw_max,Prefrontal_Cortex,Category_Selective,5.095011669293497,Raw,1,0,GNWT_stim_off
bary-sq_sgddtw_max,Category_Selective,Prefrontal_Cortex,5.095011669293497,Raw,1,0,GNWT_stim_off
bary-sq_sgddtw_max_time,Prefrontal_Cortex,Category_Selective,64.0,Raw,1,0,GNWT_stim_off
bary-sq_sgddtw_max_time,Category_Selective,Prefrontal_Cortex,64.0,Raw,1,0,GNWT_stim_off
bary-sq_softdtw_max,Prefrontal_Cortex,Category_Selective,9.299516600129385,Raw,1,0,GNWT_stim_off
bary-sq_softdtw_max,Category_Selective,Prefrontal_Cortex,9.299516600129385,Raw,1,0,GNWT_stim_off
bary-sq_softdtw_max_time,Prefrontal_Cortex,Category_Selective,887.0,Raw,1,0,GNWT_stim_off
bary-sq_softdtw_max_time,Category_Selective,Prefrontal_Cortex,887.0,Raw,1,0,GNWT_stim_off
bary-sq_euclidean_max,Prefrontal_Cortex,Category_Selective,6.800222984685771,Abs,1,0,GNWT_stim_off
bary-sq_euclidean_max,Category_Selective,Prefrontal_Cortex,6.800222984685771,Abs,1,0,GNWT_stim_off
bary-sq_euclidean_max_time,Prefrontal_Cortex,Category_Selective,887.0,Abs,1,0,GNWT_stim_off
bary-sq_euclidean_max_time,Category_Selective,Prefrontal_Cortex,887.0,Abs,1,0,GNWT_stim_off
bary-sq_dtw_max,Prefrontal_Cortex,Category_Selective,10.241190689401394,Abs,1,0,GNWT_stim_off
bary-sq_dtw_max,Category_Selective,Prefrontal_Cortex,10.241190689401394,Abs,1,0,GNWT_stim_off
bary-sq_dtw_max_time,Prefrontal_Cortex,Category_Selective,887.0,Abs,1,0,GNWT_stim_off
bary-sq_dtw_max_time,Category_Selective,Prefrontal_Cortex,887.0,Abs,1,0,GNWT_stim_off
bary-sq_sgddtw_max,Prefrontal_Cortex,Category_Selective,7.314072397772812,Abs,1,0,GNWT_stim_off
bary-sq_sgddtw_max,Category_Selective,Prefrontal_Cortex,7.314072397772812,Abs,1,0,GNWT_stim_off
bary-sq_sgddtw_max_time,Prefrontal_Cortex,Category_Selective,887.0,Abs,1,0,GNWT_stim_off
bary-sq_sgddtw_max_time,Category_Selective,Prefrontal_Cortex,887.0,Abs,1,0,GNWT_stim_off
bary-sq_softdtw_max,Prefrontal_Cortex,Category_Selective,9.390867996769344,Abs,1,0,GNWT_stim_off
bary-sq_softdtw_max,Category_Selective,Prefrontal_Cortex,9.390867996769344,Abs,1,0,GNWT_stim_off
bary-sq_softdtw_max_time,Prefrontal_Cortex,Category_Selective,887.0,Abs,1,0,GNWT_stim_off
bary-sq_softdtw_max_time,Category_Selective,Prefrontal_Cortex,887.0,Abs,1,0,GNWT_stim_off
bary-sq_euclidean_max,Prefrontal_Cortex,Category_Selective,6.248968871679281,Raw,1,1,GNWT_stim_off
bary-sq_euclidean_max,Category_Selective,Prefrontal_Cortex,6.248968871679281,Raw,1,1,GNWT_stim_off
bary-sq_euclidean_max_time,Prefrontal_Cortex,Category_Selective,18.0,Raw,1,1,GNWT_stim_off
bary-sq_euclidean_max_time,Category_Selective,Prefrontal_Cortex,18.0,Raw,1,1,GNWT_stim_off
bary-sq_dtw_max,Prefrontal_Cortex,Category_Selective,7.6387225982122136,Raw,1,1,GNWT_stim_off
bary-sq_dtw_max,Category_Selective,Prefrontal_Cortex,7.6387225982122136,Raw,1,1,GNWT_stim_off
bary-sq_dtw_max_time,Prefrontal_Cortex,Category_Selective,128.0,Raw,1,1,GNWT_stim_off
bary-sq_dtw_max_time,Category_Selective,Prefrontal_Cortex,128.0,Raw,1,1,GNWT_stim_off
bary-sq_sgddtw_max,Prefrontal_Cortex,Category_Selective,6.190021171447125,Raw,1,1,GNWT_stim_off
bary-sq_sgddtw_max,Category_Selective,Prefrontal_Cortex,6.190021171447125,Raw,1,1,GNWT_stim_off
bary-sq_sgddtw_max_time,Prefrontal_Cortex,Category_Selective,18.0,Raw,1,1,GNWT_stim_off
bary-sq_sgddtw_max_time,Category_Selective,Prefrontal_Cortex,18.0,Raw,1,1,GNWT_stim_off
bary-sq_softdtw_max,Prefrontal_Cortex,Category_Selective,7.798381399932708,Raw,1,1,GNWT_stim_off
bary-sq_softdtw_max,Category_Selective,Prefrontal_Cortex,7.798381399932708,Raw,1,1,GNWT_stim_off
bary-sq_softdtw_max_time,Prefrontal_Cortex,Category_Selective,128.0,Raw,1,1,GNWT_stim_off
bary-sq_softdtw_max_time,Category_Selective,Prefrontal_Cortex,128.0,Raw,1,1,GNWT_stim_off
bary-sq_euclidean_max,Prefrontal_Cortex,Category_Selective,6.248968871679281,Abs,1,1,GNWT_stim_off
bary-sq_euclidean_max,Category_Selective,Prefrontal_Cortex,6.248968871679281,Abs,1,1,GNWT_stim_off
bary-sq_euclidean_max_time,Prefrontal_Cortex,Category_Selective,18.0,Abs,1,1,GNWT_stim_off
bary-sq_euclidean_max_time,Category_Selective,Prefrontal_Cortex,18.0,Abs,1,1,GNWT_stim_off
bary-sq_dtw_max,Prefrontal_Cortex,Category_Selective,10.685018140443,Abs,1,1,GNWT_stim_off
bary-sq_dtw_max,Category_Selective,Prefrontal_Cortex,10.685018140443,Abs,1,1,GNWT_stim_off
bary-sq_dtw_max_time,Prefrontal_Cortex,Category_Selective,644.0,Abs,1,1,GNWT_stim_off
bary-sq_dtw_max_time,Category_Selective,Prefrontal_Cortex,644.0,Abs,1,1,GNWT_stim_off
bary-sq_sgddtw_max,Prefrontal_Cortex,Category_Selective,6.31608014067545,Abs,1,1,GNWT_stim_off
bary-sq_sgddtw_max,Category_Selective,Prefrontal_Cortex,6.31608014067545,Abs,1,1,GNWT_stim_off
bary-sq_sgddtw_max_time,Prefrontal_Cortex,Category_Selective,18.0,Abs,1,1,GNWT_stim_off
bary-sq_sgddtw_max_time,Category_Selective,Prefrontal_Cortex,18.0,Abs,1,1,GNWT_stim_off
bary-sq_softdtw_max,Prefrontal_Cortex,Category_Selective,10.363358004438865,Abs,1,1,GNWT_stim_off
bary-sq_softdtw_max,Category_Selective,Prefrontal_Cortex,10.363358004438865,Abs,1,1,GNWT_stim_off
bary-sq_softdtw_max_time,Prefrontal_Cortex,Category_Selective,644.0,Abs,1,1,GNWT_stim_off
bary-sq_softdtw_max_time,Category_Selective,Prefrontal_Cortex,644.0,Abs,1,1,GNWT_stim_off
bary-sq_euclidean_max,Prefrontal_Cortex,Category_Selective,7.871972264838101,Raw,1,2,GNWT_stim_off
bary-sq_euclidean_max,Category_Selective,Prefrontal_Cortex,7.871972264838101,Raw,1,2,GNWT_stim_off
bary-sq_euclidean_max_time,Prefrontal_Cortex,Category_Selective,504.0,Raw,1,2,GNWT_stim_off
bary-sq_euclidean_max_time,Category_Selective,Prefrontal_Cortex,504.0,Raw,1,2,GNWT_stim_off
bary-sq_dtw_max,Prefrontal_Cortex,Category_Selective,8.03052636325864,Raw,1,2,GNWT_stim_off
bary-sq_dtw_max,Category_Selective,Prefrontal_Cortex,8.03052636325864,Raw,1,2,GNWT_stim_off
bary-sq_dtw_max_time,Prefrontal_Cortex,Category_Selective,285.0,Raw,1,2,GNWT_stim_off
bary-sq_dtw_max_time,Category_Selective,Prefrontal_Cortex,285.0,Raw,1,2,GNWT_stim_off
bary-sq_sgddtw_max,Prefrontal_Cortex,Category_Selective,8.00800374656986,Raw,1,2,GNWT_stim_off
