SPI,meta_ROI_from,meta_ROI_to,value,Data_Type,Noise,sim_num,sim_context
bary-sq_euclidean_max,Prefrontal_Cortex,Category_Selective,6.092397453546669,Raw,1,0,GNWT_stim_on
bary-sq_euclidean_max,Category_Selective,Prefrontal_Cortex,6.092397453546669,Raw,1,0,GNWT_stim_on
bary-sq_euclidean_max_time,Prefrontal_Cortex,Category_Selective,538.0,Raw,1,0,GNWT_stim_on
bary-sq_euclidean_max_time,Category_Selective,Prefrontal_Cortex,538.0,Raw,1,0,GNWT_stim_on
bary-sq_dtw_max,Prefrontal_Cortex,Category_Selective,8.744067369097957,Raw,1,0,GNWT_stim_on
bary-sq_dtw_max,Category_Selective,Prefrontal_Cortex,8.744067369097957,Raw,1,0,GNWT_stim_on
bary-sq_dtw_max_time,Prefrontal_Cortex,Category_Selective,815.0,Raw,1,0,GNWT_stim_on
bary-sq_dtw_max_time,Category_Selective,Prefrontal_Cortex,815.0,Raw,1,0,GNWT_stim_on
bary-sq_sgddtw_max,Prefrontal_Cortex,Category_Selective,6.343390714218079,Raw,1,0,GNWT_stim_on
bary-sq_sgddtw_max,Category_Selective,Prefrontal_Cortex,6.343390714218079,Raw,1,0,GNWT_stim_on
bary-sq_sgddtw_max_time,Prefrontal_Cortex,Category_Selective,538.0,Raw,1,0,GNWT_stim_on
bary-sq_sgddtw_max_time,Category_Selective,Prefrontal_Cortex,538.0,Raw,1,0,GNWT_stim_on
bary-sq_softdtw_max,Prefrontal_Cortex,Category_Selective,11.457503108090242,Raw,1,0,GNWT_stim_on
bary-sq_softdtw_max,Category_Selective,Prefrontal_Cortex,11.457503108090242,Raw,1,0,GNWT_stim_on
bary-sq_softdtw_max_time,Prefrontal_Cortex,Category_Selective,325.0,Raw,1,0,GNWT_stim_on
bary-sq_softdtw_max_time,Category_Selective,Prefrontal_Cortex,325.0,Raw,1,0,GNWT_stim_on
bary-sq_euclidean_max,Prefrontal_Cortex,Category_Selective,7.628173673616361,Abs,1,0,GNWT_stim_on
bary-sq_euclidean_max,Category_Selective,Prefrontal_Cortex,7.628173673616361,Abs,1,0,GNWT_stim_on
bary-sq_euclidean_max_time,Prefrontal_Cortex,Category_Selective,123.0,Abs,1,0,GNWT_stim_on
bary-sq_euclidean_max_time,Category_Selective,Prefrontal_Cortex,123.0,Abs,1,0,GNWT_stim_on
bary-sq_dtw_max,Prefrontal_Cortex,Category_Selective,8.744067369097957,Abs,1,0,GNWT_stim_on
bary-sq_dtw_max,Category_Selective,Prefrontal_Cortex,8.744067369097957,Abs,1,0,GNWT_stim_on
bary-sq_dtw_max_time,Prefrontal_Cortex,Category_Selective,823.0,Abs,1,0,GNWT_stim_on
bary-sq_dtw_max_time,Category_Selective,Prefrontal_Cortex,823.0,Abs,1,0,GNWT_stim_on
bary-sq_sgddtw_max,Prefrontal_Cortex,Category_Selective,7.475926800168901,Abs,1,0,GNWT_stim_on
bary-sq_sgddtw_max,Category_Selective,Prefrontal_Cortex,7.475926800168901,Abs,1,0,GNWT_stim_on
bary-sq_sgddtw_max_time,Prefrontal_Cortex,Category_Selective,123.0,Abs,1,0,GNWT_stim_on
