SPI,meta_ROI_from,meta_ROI_to,value,Data_Type,Noise,sim_num,sim_context
bary-sq_euclidean_max,V1_V2,Category_Selective,5.1203221095233085,Raw,0.8,0,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,5.1203221095233085,Raw,0.8,0,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,166.0,Raw,0.8,0,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,166.0,Raw,0.8,0,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,5.1203221095233085,Abs,0.8,0,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,5.1203221095233085,Abs,0.8,0,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,166.0,Abs,0.8,0,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,166.0,Abs,0.8,0,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,6.6487460741168025,Raw,0.8,1,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,6.6487460741168025,Raw,0.8,1,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,29.0,Raw,0.8,1,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,29.0,Raw,0.8,1,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,6.6487460741168025,Abs,0.8,1,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,6.6487460741168025,Abs,0.8,1,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,29.0,Abs,0.8,1,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,29.0,Abs,0.8,1,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,4.208268927077837,Raw,0.8,2,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,4.208268927077837,Raw,0.8,2,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,4.0,Raw,0.8,2,IIT_stim_off
