SPI,meta_ROI_from,meta_ROI_to,value,Data_Type,Noise,sim_num,sim_context
bary-sq_euclidean_max,V1_V2,Category_Selective,7.369229988686238,Raw,0.6,0,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,7.369229988686238,Raw,0.6,0,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,236.0,Raw,0.6,0,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,236.0,Raw,0.6,0,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,7.369229988686238,Abs,0.6,0,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,7.369229988686238,Abs,0.6,0,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,236.0,Abs,0.6,0,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,236.0,Abs,0.6,0,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,7.433331425677742,Raw,0.6,1,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,7.433331425677742,Raw,0.6,1,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,248.0,Raw,0.6,1,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,248.0,Raw,0.6,1,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,7.433331425677742,Abs,0.6,1,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,7.433331425677742,Abs,0.6,1,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,248.0,Abs,0.6,1,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,248.0,Abs,0.6,1,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,9.095114032567865,Raw,0.6,2,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,9.095114032567865,Raw,0.6,2,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,161.0,Raw,0.6,2,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,161.0,Raw,0.6,2,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,9.095114032567865,Abs,0.6,2,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,9.095114032567865,Abs,0.6,2,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,161.0,Abs,0.6,2,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,161.0,Abs,0.6,2,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,8.432359918238973,Raw,0.6,3,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,8.432359918238973,Raw,0.6,3,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,264.0,Raw,0.6,3,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,264.0,Raw,0.6,3,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,8.432359918238973,Abs,0.6,3,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,8.432359918238973,Abs,0.6,3,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,264.0,Abs,0.6,3,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,264.0,Abs,0.6,3,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,8.000022768801728,Raw,0.6,4,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,8.000022768801728,Raw,0.6,4,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,153.0,Raw,0.6,4,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,153.0,Raw,0.6,4,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,8.000022768801728,Abs,0.6,4,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,8.000022768801728,Abs,0.6,4,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,153.0,Abs,0.6,4,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,153.0,Abs,0.6,4,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,9.289779857256711,Raw,0.6,5,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,9.289779857256711,Raw,0.6,5,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,282.0,Raw,0.6,5,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,282.0,Raw,0.6,5,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,9.289779857256711,Abs,0.6,5,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,9.289779857256711,Abs,0.6,5,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,282.0,Abs,0.6,5,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,282.0,Abs,0.6,5,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,9.697783843802045,Raw,0.6,6,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,9.697783843802045,Raw,0.6,6,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,378.0,Raw,0.6,6,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,378.0,Raw,0.6,6,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,9.697783843802045,Abs,0.6,6,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,9.697783843802045,Abs,0.6,6,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,378.0,Abs,0.6,6,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,378.0,Abs,0.6,6,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,9.0682353382152,Raw,0.6,7,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,9.0682353382152,Raw,0.6,7,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,234.0,Raw,0.6,7,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,234.0,Raw,0.6,7,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,9.0682353382152,Abs,0.6,7,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,9.0682353382152,Abs,0.6,7,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,234.0,Abs,0.6,7,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,234.0,Abs,0.6,7,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,8.768770041278744,Raw,0.6,8,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,8.768770041278744,Raw,0.6,8,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,235.0,Raw,0.6,8,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,235.0,Raw,0.6,8,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,8.768770041278744,Abs,0.6,8,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,8.768770041278744,Abs,0.6,8,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,235.0,Abs,0.6,8,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,235.0,Abs,0.6,8,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,6.978069315354225,Raw,0.6,9,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,6.978069315354225,Raw,0.6,9,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,231.0,Raw,0.6,9,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,231.0,Raw,0.6,9,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,6.978069315354225,Abs,0.6,9,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,6.978069315354225,Abs,0.6,9,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,231.0,Abs,0.6,9,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,231.0,Abs,0.6,9,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,8.024862119866642,Raw,0.6,10,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,8.024862119866642,Raw,0.6,10,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,203.0,Raw,0.6,10,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,203.0,Raw,0.6,10,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,8.024862119866642,Abs,0.6,10,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,8.024862119866642,Abs,0.6,10,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,203.0,Abs,0.6,10,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,203.0,Abs,0.6,10,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,8.090009484700747,Raw,0.6,11,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,8.090009484700747,Raw,0.6,11,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,194.0,Raw,0.6,11,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,194.0,Raw,0.6,11,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,8.090009484700747,Abs,0.6,11,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,8.090009484700747,Abs,0.6,11,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,194.0,Abs,0.6,11,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,194.0,Abs,0.6,11,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,8.228341044806127,Raw,0.6,12,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,8.228341044806127,Raw,0.6,12,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,143.0,Raw,0.6,12,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,143.0,Raw,0.6,12,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,8.228341044806127,Abs,0.6,12,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,8.228341044806127,Abs,0.6,12,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,143.0,Abs,0.6,12,IIT_stim_on
