SPI,meta_ROI_from,meta_ROI_to,value,Data_Type,Noise,sim_num,sim_context
bary-sq_euclidean_max,V1_V2,Category_Selective,7.059658124151615,Raw,0.5,0,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,7.059658124151615,Raw,0.5,0,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,166.0,Raw,0.5,0,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,166.0,Raw,0.5,0,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,7.415141057052393,Abs,0.5,0,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,7.415141057052393,Abs,0.5,0,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,135.0,Abs,0.5,0,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,135.0,Abs,0.5,0,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,9.761060092905472,Raw,0.5,1,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,9.761060092905472,Raw,0.5,1,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,29.0,Raw,0.5,1,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,29.0,Raw,0.5,1,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,9.761060092905472,Abs,0.5,1,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,9.761060092905472,Abs,0.5,1,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,29.0,Abs,0.5,1,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,29.0,Abs,0.5,1,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,5.526366450678946,Raw,0.5,2,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,5.526366450678946,Raw,0.5,2,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,4.0,Raw,0.5,2,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,4.0,Raw,0.5,2,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,5.526366450678946,Abs,0.5,2,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,5.526366450678946,Abs,0.5,2,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,4.0,Abs,0.5,2,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,4.0,Abs,0.5,2,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,7.794946017072629,Raw,0.5,3,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,7.794946017072629,Raw,0.5,3,IIT_stim_off
