SPI,meta_ROI_from,meta_ROI_to,value,Data_Type,Noise,sim_num,sim_context
bary-sq_euclidean_max,V1_V2,Category_Selective,13.069298150036705,Raw,1,0,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,13.069298150036705,Raw,1,0,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,177.0,Raw,1,0,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,177.0,Raw,1,0,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,13.069298150036705,Abs,1,0,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,13.069298150036705,Abs,1,0,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,177.0,Abs,1,0,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,177.0,Abs,1,0,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,15.132014967595884,Raw,1,1,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,15.132014967595884,Raw,1,1,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,148.0,Raw,1,1,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,148.0,Raw,1,1,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,15.132014967595884,Abs,1,1,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,15.132014967595884,Abs,1,1,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,148.0,Abs,1,1,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,148.0,Abs,1,1,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,9.376993792271527,Raw,1,2,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,9.376993792271527,Raw,1,2,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,243.0,Raw,1,2,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,243.0,Raw,1,2,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,9.376993792271527,Abs,1,2,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,9.376993792271527,Abs,1,2,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,243.0,Abs,1,2,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,243.0,Abs,1,2,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,7.951154440237251,Raw,1,3,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,7.951154440237251,Raw,1,3,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,168.0,Raw,1,3,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,168.0,Raw,1,3,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,7.951154440237251,Abs,1,3,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,7.951154440237251,Abs,1,3,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,168.0,Abs,1,3,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,168.0,Abs,1,3,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,10.042076415774357,Raw,1,4,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,10.042076415774357,Raw,1,4,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,498.0,Raw,1,4,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,498.0,Raw,1,4,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,10.042076415774357,Abs,1,4,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,10.042076415774357,Abs,1,4,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,498.0,Abs,1,4,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,498.0,Abs,1,4,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,8.929985096558704,Raw,1,5,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,8.929985096558704,Raw,1,5,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,116.0,Raw,1,5,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,116.0,Raw,1,5,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,8.929985096558704,Abs,1,5,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,8.929985096558704,Abs,1,5,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,116.0,Abs,1,5,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,116.0,Abs,1,5,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,7.071342817720298,Raw,1,6,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,7.071342817720298,Raw,1,6,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,143.0,Raw,1,6,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,143.0,Raw,1,6,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,7.071342817720298,Abs,1,6,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,7.071342817720298,Abs,1,6,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,143.0,Abs,1,6,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,143.0,Abs,1,6,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,9.861899546130267,Raw,1,7,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,9.861899546130267,Raw,1,7,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,174.0,Raw,1,7,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,174.0,Raw,1,7,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,9.861899546130267,Abs,1,7,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,9.861899546130267,Abs,1,7,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,174.0,Abs,1,7,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,174.0,Abs,1,7,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,8.73416177726473,Raw,1,8,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,8.73416177726473,Raw,1,8,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,184.0,Raw,1,8,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,184.0,Raw,1,8,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,8.73416177726473,Abs,1,8,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,8.73416177726473,Abs,1,8,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,184.0,Abs,1,8,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,184.0,Abs,1,8,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,6.143860131610426,Raw,1,9,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,6.143860131610426,Raw,1,9,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,115.0,Raw,1,9,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,115.0,Raw,1,9,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,6.619493698299552,Abs,1,9,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,6.619493698299552,Abs,1,9,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,37.0,Abs,1,9,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,37.0,Abs,1,9,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,10.170659860717578,Raw,1,10,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,10.170659860717578,Raw,1,10,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,162.0,Raw,1,10,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,162.0,Raw,1,10,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,10.170659860717578,Abs,1,10,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,10.170659860717578,Abs,1,10,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,162.0,Abs,1,10,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,162.0,Abs,1,10,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,9.246264238687967,Raw,1,11,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,9.246264238687967,Raw,1,11,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,130.0,Raw,1,11,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,130.0,Raw,1,11,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,9.246264238687967,Abs,1,11,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,9.246264238687967,Abs,1,11,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,130.0,Abs,1,11,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,130.0,Abs,1,11,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,6.345404019356404,Raw,1,12,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,6.345404019356404,Raw,1,12,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,75.0,Raw,1,12,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,75.0,Raw,1,12,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,6.345404019356404,Abs,1,12,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,6.345404019356404,Abs,1,12,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,75.0,Abs,1,12,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,75.0,Abs,1,12,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,8.283107506498801,Raw,1,13,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,8.283107506498801,Raw,1,13,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,112.0,Raw,1,13,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,112.0,Raw,1,13,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,8.283107506498801,Abs,1,13,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,8.283107506498801,Abs,1,13,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,112.0,Abs,1,13,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,112.0,Abs,1,13,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,14.169865382974889,Raw,1,14,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,14.169865382974889,Raw,1,14,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,120.0,Raw,1,14,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,120.0,Raw,1,14,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,14.169865382974889,Abs,1,14,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,14.169865382974889,Abs,1,14,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,120.0,Abs,1,14,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,120.0,Abs,1,14,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,8.664481158163653,Raw,1,15,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,8.664481158163653,Raw,1,15,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,129.0,Raw,1,15,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,129.0,Raw,1,15,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,8.664481158163653,Abs,1,15,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,8.664481158163653,Abs,1,15,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,129.0,Abs,1,15,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,129.0,Abs,1,15,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,9.473809936162036,Raw,1,16,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,9.473809936162036,Raw,1,16,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,104.0,Raw,1,16,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,104.0,Raw,1,16,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,9.473809936162036,Abs,1,16,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,9.473809936162036,Abs,1,16,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,104.0,Abs,1,16,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,104.0,Abs,1,16,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,10.411770130625955,Raw,1,17,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,10.411770130625955,Raw,1,17,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,176.0,Raw,1,17,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,176.0,Raw,1,17,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,10.411770130625955,Abs,1,17,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,10.411770130625955,Abs,1,17,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,176.0,Abs,1,17,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,176.0,Abs,1,17,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,7.674989211589138,Raw,1,18,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,7.674989211589138,Raw,1,18,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,102.0,Raw,1,18,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,102.0,Raw,1,18,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,7.674989211589138,Abs,1,18,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,7.674989211589138,Abs,1,18,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,102.0,Abs,1,18,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,102.0,Abs,1,18,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,8.152258819809532,Raw,1,19,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,8.152258819809532,Raw,1,19,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,127.0,Raw,1,19,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,127.0,Raw,1,19,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,8.152258819809532,Abs,1,19,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,8.152258819809532,Abs,1,19,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,127.0,Abs,1,19,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,127.0,Abs,1,19,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,12.227773552028342,Raw,1,20,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,12.227773552028342,Raw,1,20,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,138.0,Raw,1,20,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,138.0,Raw,1,20,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,12.227773552028342,Abs,1,20,IIT_stim_off
