SPI,meta_ROI_from,meta_ROI_to,value,Data_Type,Noise,sim_num,sim_context
bary-sq_euclidean_max,V1_V2,Category_Selective,7.059658124151615,Raw,1,0,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,7.059658124151615,Raw,1,0,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,166.0,Raw,1,0,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,166.0,Raw,1,0,IIT_stim_off
bary-sq_dtw_max,V1_V2,Category_Selective,8.769201030895019,Raw,1,0,IIT_stim_off
bary-sq_dtw_max,Category_Selective,V1_V2,8.769201030895019,Raw,1,0,IIT_stim_off
bary-sq_dtw_max_time,V1_V2,Category_Selective,166.0,Raw,1,0,IIT_stim_off
bary-sq_dtw_max_time,Category_Selective,V1_V2,166.0,Raw,1,0,IIT_stim_off
bary-sq_sgddtw_max,V1_V2,Category_Selective,7.47664004746375,Raw,1,0,IIT_stim_off
bary-sq_sgddtw_max,Category_Selective,V1_V2,7.47664004746375,Raw,1,0,IIT_stim_off
bary-sq_sgddtw_max_time,V1_V2,Category_Selective,166.0,Raw,1,0,IIT_stim_off
bary-sq_sgddtw_max_time,Category_Selective,V1_V2,166.0,Raw,1,0,IIT_stim_off
bary-sq_softdtw_max,V1_V2,Category_Selective,9.117733304597836,Raw,1,0,IIT_stim_off
bary-sq_softdtw_max,Category_Selective,V1_V2,9.117733304597836,Raw,1,0,IIT_stim_off
bary-sq_softdtw_max_time,V1_V2,Category_Selective,134.0,Raw,1,0,IIT_stim_off
bary-sq_softdtw_max_time,Category_Selective,V1_V2,134.0,Raw,1,0,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,7.415141057052393,Abs,1,0,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,7.415141057052393,Abs,1,0,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,135.0,Abs,1,0,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,135.0,Abs,1,0,IIT_stim_off
bary-sq_dtw_max,V1_V2,Category_Selective,9.02383242602911,Abs,1,0,IIT_stim_off
bary-sq_dtw_max,Category_Selective,V1_V2,9.02383242602911,Abs,1,0,IIT_stim_off
bary-sq_dtw_max_time,V1_V2,Category_Selective,166.0,Abs,1,0,IIT_stim_off
bary-sq_dtw_max_time,Category_Selective,V1_V2,166.0,Abs,1,0,IIT_stim_off
bary-sq_sgddtw_max,V1_V2,Category_Selective,7.904830251042474,Abs,1,0,IIT_stim_off
bary-sq_sgddtw_max,Category_Selective,V1_V2,7.904830251042474,Abs,1,0,IIT_stim_off
bary-sq_sgddtw_max_time,V1_V2,Category_Selective,135.0,Abs,1,0,IIT_stim_off
bary-sq_sgddtw_max_time,Category_Selective,V1_V2,135.0,Abs,1,0,IIT_stim_off
bary-sq_softdtw_max,V1_V2,Category_Selective,10.271126347133832,Abs,1,0,IIT_stim_off
bary-sq_softdtw_max,Category_Selective,V1_V2,10.271126347133832,Abs,1,0,IIT_stim_off
bary-sq_softdtw_max_time,V1_V2,Category_Selective,177.0,Abs,1,0,IIT_stim_off
bary-sq_softdtw_max_time,Category_Selective,V1_V2,177.0,Abs,1,0,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,9.761060092905472,Raw,1,1,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,9.761060092905472,Raw,1,1,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,29.0,Raw,1,1,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,29.0,Raw,1,1,IIT_stim_off
bary-sq_dtw_max,V1_V2,Category_Selective,10.083013906567444,Raw,1,1,IIT_stim_off
bary-sq_dtw_max,Category_Selective,V1_V2,10.083013906567444,Raw,1,1,IIT_stim_off
bary-sq_dtw_max_time,V1_V2,Category_Selective,242.0,Raw,1,1,IIT_stim_off
bary-sq_dtw_max_time,Category_Selective,V1_V2,242.0,Raw,1,1,IIT_stim_off
bary-sq_sgddtw_max,V1_V2,Category_Selective,9.644259433068088,Raw,1,1,IIT_stim_off
bary-sq_sgddtw_max,Category_Selective,V1_V2,9.644259433068088,Raw,1,1,IIT_stim_off
bary-sq_sgddtw_max_time,V1_V2,Category_Selective,29.0,Raw,1,1,IIT_stim_off
bary-sq_sgddtw_max_time,Category_Selective,V1_V2,29.0,Raw,1,1,IIT_stim_off
bary-sq_softdtw_max,V1_V2,Category_Selective,10.706425181895964,Raw,1,1,IIT_stim_off
bary-sq_softdtw_max,Category_Selective,V1_V2,10.706425181895964,Raw,1,1,IIT_stim_off
bary-sq_softdtw_max_time,V1_V2,Category_Selective,183.0,Raw,1,1,IIT_stim_off
bary-sq_softdtw_max_time,Category_Selective,V1_V2,183.0,Raw,1,1,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,9.761060092905472,Abs,1,1,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,9.761060092905472,Abs,1,1,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,29.0,Abs,1,1,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,29.0,Abs,1,1,IIT_stim_off
bary-sq_dtw_max,V1_V2,Category_Selective,10.083013906567444,Abs,1,1,IIT_stim_off
bary-sq_dtw_max,Category_Selective,V1_V2,10.083013906567444,Abs,1,1,IIT_stim_off
bary-sq_dtw_max_time,V1_V2,Category_Selective,242.0,Abs,1,1,IIT_stim_off
bary-sq_dtw_max_time,Category_Selective,V1_V2,242.0,Abs,1,1,IIT_stim_off
bary-sq_sgddtw_max,V1_V2,Category_Selective,9.875932495737027,Abs,1,1,IIT_stim_off
bary-sq_sgddtw_max,Category_Selective,V1_V2,9.875932495737027,Abs,1,1,IIT_stim_off
bary-sq_sgddtw_max_time,V1_V2,Category_Selective,29.0,Abs,1,1,IIT_stim_off
bary-sq_sgddtw_max_time,Category_Selective,V1_V2,29.0,Abs,1,1,IIT_stim_off
bary-sq_softdtw_max,V1_V2,Category_Selective,8.941941551252352,Abs,1,1,IIT_stim_off
bary-sq_softdtw_max,Category_Selective,V1_V2,8.941941551252352,Abs,1,1,IIT_stim_off
bary-sq_softdtw_max_time,V1_V2,Category_Selective,29.0,Abs,1,1,IIT_stim_off
bary-sq_softdtw_max_time,Category_Selective,V1_V2,29.0,Abs,1,1,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,5.526366450678946,Raw,1,2,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,5.526366450678946,Raw,1,2,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,4.0,Raw,1,2,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,4.0,Raw,1,2,IIT_stim_off
bary-sq_dtw_max,V1_V2,Category_Selective,9.077057823478313,Raw,1,2,IIT_stim_off
bary-sq_dtw_max,Category_Selective,V1_V2,9.077057823478313,Raw,1,2,IIT_stim_off
bary-sq_dtw_max_time,V1_V2,Category_Selective,309.0,Raw,1,2,IIT_stim_off
bary-sq_dtw_max_time,Category_Selective,V1_V2,309.0,Raw,1,2,IIT_stim_off
bary-sq_sgddtw_max,V1_V2,Category_Selective,5.573264333297319,Raw,1,2,IIT_stim_off
bary-sq_sgddtw_max,Category_Selective,V1_V2,5.573264333297319,Raw,1,2,IIT_stim_off
bary-sq_sgddtw_max_time,V1_V2,Category_Selective,4.0,Raw,1,2,IIT_stim_off
bary-sq_sgddtw_max_time,Category_Selective,V1_V2,4.0,Raw,1,2,IIT_stim_off
bary-sq_softdtw_max,V1_V2,Category_Selective,7.736317299742994,Raw,1,2,IIT_stim_off
