SPI,meta_ROI_from,meta_ROI_to,value,Data_Type,Noise,sim_num,sim_context
bary-sq_euclidean_max,V1_V2,Category_Selective,9.203763291088057,Raw,0.8,0,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,9.203763291088057,Raw,0.8,0,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,236.0,Raw,0.8,0,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,236.0,Raw,0.8,0,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,9.203763291088057,Abs,0.8,0,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,9.203763291088057,Abs,0.8,0,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,236.0,Abs,0.8,0,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,236.0,Abs,0.8,0,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,9.426380725023144,Raw,0.8,1,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,9.426380725023144,Raw,0.8,1,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,388.0,Raw,0.8,1,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,388.0,Raw,0.8,1,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,9.426380725023144,Abs,0.8,1,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,9.426380725023144,Abs,0.8,1,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,388.0,Abs,0.8,1,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,388.0,Abs,0.8,1,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,11.761359136876967,Raw,0.8,2,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,11.761359136876967,Raw,0.8,2,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,161.0,Raw,0.8,2,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,161.0,Raw,0.8,2,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,11.761359136876967,Abs,0.8,2,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,11.761359136876967,Abs,0.8,2,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,161.0,Abs,0.8,2,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,161.0,Abs,0.8,2,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,10.654588127389951,Raw,0.8,3,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,10.654588127389951,Raw,0.8,3,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,264.0,Raw,0.8,3,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,264.0,Raw,0.8,3,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,10.654588127389951,Abs,0.8,3,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,10.654588127389951,Abs,0.8,3,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,264.0,Abs,0.8,3,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,264.0,Abs,0.8,3,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,10.078809708416516,Raw,0.8,4,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,10.078809708416516,Raw,0.8,4,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,153.0,Raw,0.8,4,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,153.0,Raw,0.8,4,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,10.078809708416516,Abs,0.8,4,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,10.078809708416516,Abs,0.8,4,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,153.0,Abs,0.8,4,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,153.0,Abs,0.8,4,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,12.21640012078256,Raw,0.8,5,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,12.21640012078256,Raw,0.8,5,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,282.0,Raw,0.8,5,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,282.0,Raw,0.8,5,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,12.21640012078256,Abs,0.8,5,IIT_stim_on
