SPI,meta_ROI_from,meta_ROI_to,value,Data_Type,Noise,sim_num,sim_context
bary-sq_euclidean_max,V1_V2,Category_Selective,11.507203655239003,Raw,1,0,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,11.507203655239003,Raw,1,0,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,916.0,Raw,1,0,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,916.0,Raw,1,0,IIT_stim_on
bary-sq_dtw_max,V1_V2,Category_Selective,15.598083405815006,Raw,1,0,IIT_stim_on
bary-sq_dtw_max,Category_Selective,V1_V2,15.598083405815006,Raw,1,0,IIT_stim_on
bary-sq_dtw_max_time,V1_V2,Category_Selective,236.0,Raw,1,0,IIT_stim_on
bary-sq_dtw_max_time,Category_Selective,V1_V2,236.0,Raw,1,0,IIT_stim_on
bary-sq_sgddtw_max,V1_V2,Category_Selective,12.266758504450053,Raw,1,0,IIT_stim_on
bary-sq_sgddtw_max,Category_Selective,V1_V2,12.266758504450053,Raw,1,0,IIT_stim_on
bary-sq_sgddtw_max_time,V1_V2,Category_Selective,916.0,Raw,1,0,IIT_stim_on
bary-sq_sgddtw_max_time,Category_Selective,V1_V2,916.0,Raw,1,0,IIT_stim_on
bary-sq_softdtw_max,V1_V2,Category_Selective,15.574738908120834,Raw,1,0,IIT_stim_on
bary-sq_softdtw_max,Category_Selective,V1_V2,15.574738908120834,Raw,1,0,IIT_stim_on
bary-sq_softdtw_max_time,V1_V2,Category_Selective,480.0,Raw,1,0,IIT_stim_on
bary-sq_softdtw_max_time,Category_Selective,V1_V2,480.0,Raw,1,0,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,11.507203655239003,Abs,1,0,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,11.507203655239003,Abs,1,0,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,916.0,Abs,1,0,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,916.0,Abs,1,0,IIT_stim_on
bary-sq_dtw_max,V1_V2,Category_Selective,15.598083405815006,Abs,1,0,IIT_stim_on
bary-sq_dtw_max,Category_Selective,V1_V2,15.598083405815006,Abs,1,0,IIT_stim_on
bary-sq_dtw_max_time,V1_V2,Category_Selective,236.0,Abs,1,0,IIT_stim_on
bary-sq_dtw_max_time,Category_Selective,V1_V2,236.0,Abs,1,0,IIT_stim_on
bary-sq_sgddtw_max,V1_V2,Category_Selective,12.083770296520925,Abs,1,0,IIT_stim_on
bary-sq_sgddtw_max,Category_Selective,V1_V2,12.083770296520925,Abs,1,0,IIT_stim_on
bary-sq_sgddtw_max_time,V1_V2,Category_Selective,236.0,Abs,1,0,IIT_stim_on
bary-sq_sgddtw_max_time,Category_Selective,V1_V2,236.0,Abs,1,0,IIT_stim_on
bary-sq_softdtw_max,V1_V2,Category_Selective,17.736910192534186,Abs,1,0,IIT_stim_on
bary-sq_softdtw_max,Category_Selective,V1_V2,17.736910192534186,Abs,1,0,IIT_stim_on
bary-sq_softdtw_max_time,V1_V2,Category_Selective,483.0,Abs,1,0,IIT_stim_on
bary-sq_softdtw_max_time,Category_Selective,V1_V2,483.0,Abs,1,0,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,12.406165798025588,Raw,1,1,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,12.406165798025588,Raw,1,1,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,388.0,Raw,1,1,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,388.0,Raw,1,1,IIT_stim_on
bary-sq_dtw_max,V1_V2,Category_Selective,16.913855734553106,Raw,1,1,IIT_stim_on
bary-sq_dtw_max,Category_Selective,V1_V2,16.913855734553106,Raw,1,1,IIT_stim_on
bary-sq_dtw_max_time,V1_V2,Category_Selective,248.0,Raw,1,1,IIT_stim_on
bary-sq_dtw_max_time,Category_Selective,V1_V2,248.0,Raw,1,1,IIT_stim_on
bary-sq_sgddtw_max,V1_V2,Category_Selective,12.585374008542477,Raw,1,1,IIT_stim_on
bary-sq_sgddtw_max,Category_Selective,V1_V2,12.585374008542477,Raw,1,1,IIT_stim_on
bary-sq_sgddtw_max_time,V1_V2,Category_Selective,248.0,Raw,1,1,IIT_stim_on
bary-sq_sgddtw_max_time,Category_Selective,V1_V2,248.0,Raw,1,1,IIT_stim_on
bary-sq_softdtw_max,V1_V2,Category_Selective,16.877293601440975,Raw,1,1,IIT_stim_on
bary-sq_softdtw_max,Category_Selective,V1_V2,16.877293601440975,Raw,1,1,IIT_stim_on
bary-sq_softdtw_max_time,V1_V2,Category_Selective,248.0,Raw,1,1,IIT_stim_on
bary-sq_softdtw_max_time,Category_Selective,V1_V2,248.0,Raw,1,1,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,12.406165798025588,Abs,1,1,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,12.406165798025588,Abs,1,1,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,388.0,Abs,1,1,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,388.0,Abs,1,1,IIT_stim_on
bary-sq_dtw_max,V1_V2,Category_Selective,16.913855734553106,Abs,1,1,IIT_stim_on
bary-sq_dtw_max,Category_Selective,V1_V2,16.913855734553106,Abs,1,1,IIT_stim_on
bary-sq_dtw_max_time,V1_V2,Category_Selective,248.0,Abs,1,1,IIT_stim_on
bary-sq_dtw_max_time,Category_Selective,V1_V2,248.0,Abs,1,1,IIT_stim_on
bary-sq_sgddtw_max,V1_V2,Category_Selective,12.651281900176738,Abs,1,1,IIT_stim_on
bary-sq_sgddtw_max,Category_Selective,V1_V2,12.651281900176738,Abs,1,1,IIT_stim_on
bary-sq_sgddtw_max_time,V1_V2,Category_Selective,248.0,Abs,1,1,IIT_stim_on
bary-sq_sgddtw_max_time,Category_Selective,V1_V2,248.0,Abs,1,1,IIT_stim_on
bary-sq_softdtw_max,V1_V2,Category_Selective,17.02892637540237,Abs,1,1,IIT_stim_on
bary-sq_softdtw_max,Category_Selective,V1_V2,17.02892637540237,Abs,1,1,IIT_stim_on
bary-sq_softdtw_max_time,V1_V2,Category_Selective,248.0,Abs,1,1,IIT_stim_on
bary-sq_softdtw_max_time,Category_Selective,V1_V2,248.0,Abs,1,1,IIT_stim_on
bary-sq_euclidean_max,V1_V2,Category_Selective,14.769855149057415,Raw,1,2,IIT_stim_on
bary-sq_euclidean_max,Category_Selective,V1_V2,14.769855149057415,Raw,1,2,IIT_stim_on
bary-sq_euclidean_max_time,V1_V2,Category_Selective,161.0,Raw,1,2,IIT_stim_on
bary-sq_euclidean_max_time,Category_Selective,V1_V2,161.0,Raw,1,2,IIT_stim_on
bary-sq_dtw_max,V1_V2,Category_Selective,17.677551379600146,Raw,1,2,IIT_stim_on
bary-sq_dtw_max,Category_Selective,V1_V2,17.677551379600146,Raw,1,2,IIT_stim_on
bary-sq_dtw_max_time,V1_V2,Category_Selective,141.0,Raw,1,2,IIT_stim_on
bary-sq_dtw_max_time,Category_Selective,V1_V2,141.0,Raw,1,2,IIT_stim_on
bary-sq_sgddtw_max,V1_V2,Category_Selective,14.213387875632238,Raw,1,2,IIT_stim_on
